organisation,Local authority,Source,Number
4M Puppets,Newcastle upon Tyne,Project Grant,1
Abdulrahman Abu - Zayd,Gateshead,Project Grant,1
Action for Children,Northumberland,Project Grant,1
Adam Phillips,Gateshead,Project Grant,3
Adam Shield,Newcastle upon Tyne,Project Grant,1
Adinda van 't Klooster,Newcastle upon Tyne,Project Grant,2
Aidan Moesby,Gateshead,Project Grant,2
Alexander Duff,Gateshead,Project Grant,2
Ali Pritchard,Newcastle upon Tyne,Project Grant,1
Alicia Meehan,Newcastle upon Tyne,Project Grant,2
Alison Carr,County Durham,Project Grant,2
Alison Carr,Newcastle upon Tyne,Project Grant,2
Alison Stanley,North Tyneside,Project Grant,1
Alison Wilkes,Gateshead,Project Grant,1
Alistair McDonald,Northumberland,Project Grant,1
Allan Hughes,Newcastle upon Tyne,Project Grant,1
Allenheads Contemporary Arts,Northumberland,Project Grant,1
Allison Davies,Northumberland,Project Grant,3
Alnwick Playhouse,Northumberland,Project Grant,1
Alphabetti Theatre,Newcastle upon Tyne,Project Grant,6
Alys North,Newcastle upon Tyne,Project Grant,1
Amanda Drago,Northumberland,Project Grant,1
Amanda Ogden,County Durham,Project Grant,1
Amber Film & Photography Collective,Newcastle upon Tyne,Project Grant,1
Amble Development Trust,Northumberland,Project Grant,1
Amy Golding,North Tyneside,Project Grant,1
Amy Lord,Northumberland,Project Grant,2
Andras Nagy-Sandor,Newcastle upon Tyne,Project Grant,1
Andrew Gardiner,North Tyneside,Project Grant,1
Andrew Maughan,Newcastle upon Tyne,Project Grant,1
Andrew Wilson,Newcastle upon Tyne,Project Grant,1
Angela Reed,South Tyneside,Project Grant,2
Anna Barker,County Durham,Project Grant,1
Annie Ball,Gateshead,Project Grant,1
Anthony Lo-Giudice,North Tyneside,Project Grant,4
Anton Hecht,Newcastle upon Tyne,Project Grant,1
Arcus Studios Ltd,Gateshead,Project Grant,2
Aria Art and Movement,South Tyneside,Project Grant,1
Arts&Heritage,Northumberland,Project Grant,1
Association for Cultural Enterprises,County Durham,IPSO,1
AutismAble CIC,South Tyneside,Project Grant,1
Awkward City,County Durham,Project Grant,1
BRASH Theatre Company Ltd,Newcastle upon Tyne,Project Grant,1
Ballet Lorent Limited,Newcastle upon Tyne,NPO,1
Ballet Lorent Limited,Newcastle upon Tyne,Project Grant,1
Baltic Flour Mills Visual Arts Trust,Gateshead,NPO,1
Baltic Flour Mills Visual Arts Trust,Gateshead,Project Grant,1
Beacon Films CIC,Newcastle upon Tyne,Project Grant,2
Beamish Museum,County Durham,NPO,1
Becci Sharrock,Gateshead,Project Grant,5
Ben Dickeson,Gateshead,Project Grant,2
Ben Richardson,Sunderland,Project Grant,1
Benedict Wellstood,County Durham,Project Grant,2
Benedicta Valentina Mamuini,Gateshead,Project Grant,1
Benjamin Storey,Newcastle upon Tyne,Project Grant,2
Berwick Film & Media Arts Festival,Northumberland,NPO,1
Beth Veitch,Newcastle upon Tyne,Project Grant,2
Bethan Kitchen,Newcastle upon Tyne,Project Grant,3
Bev Robinson,Newcastle upon Tyne,Project Grant,1
Blackhall community association,County Durham,Project Grant,1
Blaize,County Durham,Project Grant,1
Blank Studios LLP,Newcastle upon Tyne,Project Grant,1
Bloodaxe Books Ltd,Northumberland,NPO,1
Blowin a Hooley,North Tyneside,Project Grant,5
Brave Exhibitions CIC,Newcastle upon Tyne,Project Grant,1
Bridge Creative Enterprise CIC,County Durham,Project Grant,1
Broadside Creatives CIC,Sunderland,Project Grant,1
CAST,South Tyneside,Project Grant,2
CIRCA Projects,Newcastle upon Tyne,Project Grant,1
COMMON,Northumberland,Project Grant,3
Caitlin Evans,Newcastle upon Tyne,Project Grant,2
Call Yourself An Artist CIC,County Durham,Project Grant,1
Calum Bruce,Northumberland,Project Grant,1
Cameron John Sharp,Newcastle upon Tyne,Project Grant,5
Cap-a-Pie,Newcastle upon Tyne,Project Grant,3
Carers Cultural Adventures,Gateshead,Project Grant,1
Carole Wears,Newcastle upon Tyne,Project Grant,2
Caroline Collinge,Gateshead,Project Grant,1
Caroline Collinge,South Tyneside,Project Grant,2
Caroline Liversidge,South Tyneside,Project Grant,1
Carolyn Jess-Cooke,North Tyneside,Project Grant,1
Cat Robey,County Durham,Project Grant,2
Cath Campbell,County Durham,Project Grant,2
Catherine Bertola,Gateshead,Project Grant,1
Chalk,Gateshead,Project Grant,1
Chalk,Newcastle upon Tyne,Project Grant,1
Changing Relations,County Durham,Project Grant,7
Charlie Bramley,Newcastle upon Tyne,Project Grant,6
Chloe Darke,Sunderland,Project Grant,2
Chloe Stott,Newcastle upon Tyne,Project Grant,1
Chloë Smith,Northumberland,Project Grant,2
Chris Hornsby,Northumberland,Project Grant,1
Christina Castling,County Durham,Project Grant,4
Christopher Anderson,Northumberland,Project Grant,1
Christopher Folwell,Gateshead,Project Grant,1
Christopher Haigh,Northumberland,Project Grant,1
Circus Central,Gateshead,Project Grant,1
Claire Venus,Northumberland,Project Grant,1
Cloud Nine Theatre Productions,North Tyneside,Project Grant,1
Cobalt Studios Ltd,Newcastle upon Tyne,Project Grant,1
Colin Potsig,Northumberland,Project Grant,2
Company of Others,Newcastle upon Tyne,NPO,1
Company of Others,Newcastle upon Tyne,Project Grant,4
Conor O' Kane,Gateshead,Project Grant,1
Conrad Williams Bird,Newcastle upon Tyne,Project Grant,1
Creative Spaces North East C.I.C.,Gateshead,Project Grant,1
Creative Spaces North East C.I.C.,Newcastle upon Tyne,Project Grant,3
Cultural Spring,South Tyneside,Project Grant,1
Cultural Spring,Sunderland,Project Grant,1
Curious Arts Ltd,Gateshead,Project Grant,2
Curious Arts Ltd,Newcastle upon Tyne,Project Grant,2
Curious Monkey Ltd,Newcastle upon Tyne,Project Grant,5
D6 Culture Ltd,Newcastle upon Tyne,Project Grant,7
DAVE GRAY,Newcastle upon Tyne,Project Grant,1
DJAZZ - Durham City Jazz Festival,County Durham,Project Grant,1
Dance City,Newcastle upon Tyne,NPO,1
Danielle Slade,Northumberland,Project Grant,1
Danielle Stone,Newcastle upon Tyne,Project Grant,1
David Lloyd,Gateshead,Project Grant,1
David Lloyd,Sunderland,Project Grant,1
David Reynolds,Newcastle upon Tyne,Project Grant,1
Dawn Felicia Knox,Gateshead,Project Grant,1
Debbi Purtill,Newcastle upon Tyne,Project Grant,1
Debbie Beeks,Gateshead,Project Grant,2
Department of Classics Newcastle University,Newcastle upon Tyne,Project Grant,1
Donald Marshall,County Durham,Project Grant,1
Dora Frankel,Newcastle upon Tyne,Project Grant,4
Drama in the Dale (As You Like It),County Durham,Project Grant,2
Drop City,County Durham,Project Grant,1
Dry Water Arts Centre,Northumberland,Project Grant,1
Durham County Council,County Durham,NPO,1
Durham County Council,County Durham,Project Grant,2
Durham County Council Arts Programmes Team,County Durham,Project Grant,2
Durham Singers,County Durham,Project Grant,3
Durham University,County Durham,Project Grant,1
EXAUDI,County Durham,Project Grant,2
EXAUDI,Gateshead,Project Grant,2
Ed Waugh,South Tyneside,Project Grant,3
Edwin Johnson,North Tyneside,Project Grant,1
Eleanor Trow,Gateshead,Project Grant,1
Eleanor Wright,Newcastle upon Tyne,Project Grant,1
Eliot Smith,Northumberland,Project Grant,1
Eliot Smith Company,Gateshead,Project Grant,2
Eliot Smith Company,Newcastle upon Tyne,Project Grant,8
Elizabeth Jane Klotz,Gateshead,Project Grant,2
Elizabeth Jane Klotz,Newcastle upon Tyne,Project Grant,4
Elizabeth Lovejoy,County Durham,Project Grant,1
Ellen Spence,Gateshead,Project Grant,1
Elysium Creative Arts CIC,County Durham,Project Grant,3
Elysium Theatre Company,County Durham,Project Grant,3
Emma Dunn,Northumberland,Project Grant,1
Emma Roxburgh,Newcastle upon Tyne,Project Grant,1
Equal Arts,Gateshead,Project Grant,1
Equal Arts,Newcastle upon Tyne,Project Grant,1
Erin Connor,Newcastle upon Tyne,Project Grant,1
Erin Dickson,South Tyneside,Project Grant,1
Esther Huss,Northumberland,Project Grant,2
Exhibit Art,County Durham,Project Grant,1
"Faculty of Arts, Design and Creative Industries",Sunderland,Project Grant,3
Faye MacCalman,Newcastle upon Tyne,Project Grant,1
Fertile Ground Dance Ltd,Newcastle upon Tyne,Project Grant,5
Fine StudiosCIC,Northumberland,Project Grant,1
Frank & Bird Ltd,Newcastle upon Tyne,Project Grant,1
Friends of Jesmond Library,Newcastle upon Tyne,Project Grant,1
Friends of Ropner Park,County Durham,Project Grant,1
GIFT,Gateshead,Project Grant,3
Garry Hunter,South Tyneside,Project Grant,1
Gary Wilkinson,North Tyneside,Project Grant,2
Gateshead Council - Library Service,Gateshead,Project Grant,1
Gateshead Council Culture Team,Gateshead,Project Grant,1
Gateshead and South Tyneside Music Education Hub,Gateshead,Project Grant,1
Gateway Studio CIO,Gateshead,Project Grant,1
Gavin Coward,Newcastle upon Tyne,Project Grant,1
Gem Arts,Gateshead,NPO,1
Generator North East,Newcastle upon Tyne,NPO,1
Geoffrey Kirkwood,North Tyneside,Project Grant,1
Gillie Kleiman,Newcastle upon Tyne,Project Grant,2
Glow Create CIC,Newcastle upon Tyne,Project Grant,1
Grace Denton,Newcastle upon Tyne,Project Grant,1
Grace Dickson,Newcastle upon Tyne,Project Grant,1
Graeme Hopper,Gateshead,Project Grant,2
Graham Dolphin,County Durham,Project Grant,1
Graham Patterson,Northumberland,Project Grant,1
Green Croft Arts,Northumberland,Project Grant,2
Greshauna Hannabiell Sanders,Newcastle upon Tyne,Project Grant,1
Greyscale Theatre Company,Newcastle upon Tyne,Project Grant,2
Guild of Lillians,Newcastle upon Tyne,Project Grant,1
HELEN SHADDOCK,Newcastle upon Tyne,Project Grant,1
Hal Branson,Newcastle upon Tyne,Project Grant,1
Hand Of Ltd,Newcastle upon Tyne,Project Grant,1
Hand Of Ltd,Northumberland,Project Grant,2
Hannah Goudie-Hunter,County Durham,Project Grant,1
Hannah Guy,Newcastle upon Tyne,Project Grant,1
Hannah Murphy,Newcastle upon Tyne,Project Grant,4
Hannah Thompson,County Durham,Project Grant,8
Harambee Pasadia CIC,Gateshead,Project Grant,1
Harambee Pasadia CIC,Newcastle upon Tyne,Project Grant,1
Harriet Ghost,Newcastle upon Tyne,Project Grant,1
Harry Lawson,South Tyneside,Project Grant,1
Headway Arts,Northumberland,NPO,1
Headway Arts,Northumberland,Project Grant,2
Heart of Hirst,Northumberland,Project Grant,1
Heather Moore,Newcastle upon Tyne,Project Grant,1
Heddon Village Knott memorial Hall,Northumberland,Project Grant,1
Helen Ferguson,Gateshead,Project Grant,1
Helen Pailing,North Tyneside,Project Grant,1
Helix Arts Ltd,North Tyneside,NPO,1
Henna Asikainen,Newcastle upon Tyne,Project Grant,4
Hexham Book Festival,Northumberland,Project Grant,1
Holly Argent,Gateshead,Project Grant,1
House of Objects CIC,North Tyneside,Project Grant,1
IRON Press,North Tyneside,Project Grant,1
Iain Duncan,Northumberland,Project Grant,1
Ian Smith,Northumberland,Project Grant,1
Independent Sunderland,Sunderland,Project Grant,2
Inpress Ltd,Newcastle upon Tyne,IPSO,1
International Guitar Foundation & Festivals,Newcastle upon Tyne,Project Grant,2
International Guitar Foundation & Festivals,North Tyneside,Project Grant,1
Isobel Hughes,Newcastle upon Tyne,Project Grant,1
Izaak Gledhill,Newcastle upon Tyne,Project Grant,1
Jack Drum Arts,County Durham,Project Grant,3
Jack Lloyd,Newcastle upon Tyne,Project Grant,3
Jacob Polley,North Tyneside,Project Grant,1
Jade Sweeting,Newcastle upon Tyne,Project Grant,1
Jake Jarratt,County Durham,Project Grant,1
James Cook,Newcastle upon Tyne,Project Grant,1
James David Stewart,Northumberland,Project Grant,1
Jamie Eastlake,Northumberland,Project Grant,1
Jamie Tansley,Newcastle upon Tyne,Project Grant,1
Jan willem van den Bosch,North Tyneside,Project Grant,1
Janina Sabaliauskaite,Newcastle upon Tyne,Project Grant,2
Jarrow Hall,South Tyneside,NPO,1
Jazz North East Ltd,Newcastle upon Tyne,Project Grant,1
Jazz North East Ltd,North Tyneside,Project Grant,4
Jenny Mc Namara,Newcastle upon Tyne,Project Grant,1
Jessica Bennett,Newcastle upon Tyne,Project Grant,1
Jill Tate,North Tyneside,Project Grant,1
Joanna Manousis,Sunderland,Project Grant,1
Joe Snape,Northumberland,Project Grant,1
John Askew,Northumberland,Project Grant,1
John Edgar,Newcastle upon Tyne,Project Grant,1
John Kippin,Newcastle upon Tyne,Project Grant,1
John Topping,North Tyneside,Project Grant,1
Jonah York,North Tyneside,Project Grant,1
Jonathan Bradley,Northumberland,Project Grant,1
Jonluke McKie,North Tyneside,Project Grant,4
Joseph Casling,County Durham,Project Grant,1
Julian Germain,Northumberland,Project Grant,1
Juliana Mensah,Gateshead,Project Grant,1
Juliet Fleming,Newcastle upon Tyne,Project Grant,1
Karen Laws,North Tyneside,Project Grant,1
Karen Rann,Gateshead,Project Grant,1
Karlene Thomas,Newcastle upon Tyne,Project Grant,1
Kate Barton,County Durham,Project Grant,2
Kate Halsall,Newcastle upon Tyne,Project Grant,1
Kate Hunter,North Tyneside,Project Grant,1
Katherine Adams,Gateshead,Project Grant,1
Kathleen Jackson,Newcastle upon Tyne,Project Grant,4
Kathryn Fox,North Tyneside,Project Grant,1
Kathryn Williams,Newcastle upon Tyne,Project Grant,1
Katie Doherty,County Durham,Project Grant,2
Katie Tranter,Newcastle upon Tyne,Project Grant,1
Katy Weir,Sunderland,Project Grant,3
Kerrin Tatman,Newcastle upon Tyne,Project Grant,1
Kielder Observatory Astronomical Society,Northumberland,Project Grant,2
Kielder Water & Forest Park Development Trust,Northumberland,Project Grant,2
Kitchen Zoo,County Durham,Project Grant,1
LVAC Community Interest Company,County Durham,Project Grant,1
Laura Harrington,Newcastle upon Tyne,Project Grant,1
Laura Johnston,Newcastle upon Tyne,Project Grant,1
Laura Turner,Newcastle upon Tyne,Project Grant,1
Laurels Theatre,North Tyneside,Project Grant,1
Lauren Stafford,Newcastle upon Tyne,Project Grant,1
Lee Dobson,County Durham,Project Grant,1
Lee Renforth,Newcastle upon Tyne,Project Grant,1
Let's Circus,Newcastle upon Tyne,Project Grant,2
