Question,Strongly agree,Agree,Neutral,Disagree,Strongly disagree
"Patients seemed comfortable\n to ask questions and learn new things",6,0,0,0,0
"Patients engaged physically\n and mentally with activities",5,1,0,0,0
"I enjoyed participating and\n looked forward to sessions",4,2,0,0,0
"Staff and patients had\n meaningful interactions during sessions",4,2,0,0,0
"The programme helped my\n understanding of the benefits of\n culture for wellbeing",4,2,0,0,0
"I was present in the\n sessions without feeling distracted",4,1,0,1,0
"I noticed a positive impact\n on my own mood or wellbeing",3,3,0,0,0
"I observed a positive change\n in the behaviour, energy or\n mood of patients",3,3,0,0,0
"Patients benefitted from\n leaving the ward and exploring venues",3,3,0,0,0
"I learnt more about my\n colleagues to work more effectively\n together",3,1,2,0,0