Recipient,LAD24CD,Grants
4M Puppets,E08000021,1
Adam Shield,E08000021,1
Adinda van 't Klooster,E08000021,2
Ali Pritchard,E08000021,1
Alicia Meehan,E08000021,2
Alison Carr,E08000021,2
Allan Hughes,E08000021,1
Alphabetti Theatre,E08000021,6
Alys North,E08000021,1
Amber Film & Photography Collective,E08000021,1
Andras Nagy-Sandor,E08000021,1
Andrew Maughan,E08000021,1
Andrew Wilson,E08000021,1
Anton Hecht,E08000021,1
BRASH Theatre Company Ltd,E08000021,1
Ballet Lorent Limited,E08000021,1
Beacon Films CIC,E08000021,2
Benjamin Storey,E08000021,2
Beth Veitch,E08000021,2
Bethan Kitchen,E08000021,3
Bev Robinson,E08000021,1
Blank Studios LLP,E08000021,1
Brave Exhibitions CIC,E08000021,1
CIRCA Projects,E08000021,1
Caitlin Evans,E08000021,2
Cameron John Sharp,E08000021,5
Cap-a-Pie,E08000021,3
Carole Wears,E08000021,2
Chalk,E08000021,1
Charlie Bramley,E08000021,7
Chloe Stott,E08000021,1
Cobalt Studios Ltd,E08000021,1
Company of Others,E08000021,4
Conrad Williams Bird,E08000021,1
Creative Spaces North East C.I.C.,E08000021,3
Curious Arts Ltd,E08000021,2
Curious Monkey Ltd,E08000021,5
D6 Culture Ltd,E08000021,7
DAVE GRAY,E08000021,1
Danielle Stone,E08000021,1
David Reynolds,E08000021,1
Debbi Purtill,E08000021,1
Department of Classics Newcastle University,E08000021,1
Dora Frankel,E08000021,4
Eleanor Wright,E08000021,1
Eliot Smith Company,E08000021,8
Elizabeth Jane Klotz,E08000021,4
Emma Roxburgh,E08000021,1
Equal Arts,E08000021,1
Erin Connor,E08000021,1
Faye MacCalman,E08000021,1
Fertile Ground Dance Ltd,E08000021,5
Frank & Bird Ltd,E08000021,1
Friends of Jesmond Library,E08000021,1
Gavin Coward,E08000021,1
Gillie Kleiman,E08000021,2
Glow Create CIC,E08000021,1
Grace Denton,E08000021,1
Grace Dickson,E08000021,1
Greshauna Hannabiell Sanders,E08000021,1
Greyscale Theatre Company,E08000021,2
Guild of Lillians,E08000021,1
HELEN SHADDOCK,E08000021,1
Hal Branson,E08000021,1
Hand Of Ltd,E08000021,1
Hannah Guy,E08000021,1
Hannah Murphy,E08000021,4
Harambee Pasadia CIC,E08000021,1
Harriet Ghost,E08000021,1
Heather Moore,E08000021,1
Henna Asikainen,E08000021,4
International Guitar Foundation & Festivals,E08000021,2
Isobel Hughes,E08000021,1
Izaak Gledhill,E08000021,1
Jack Lloyd,E08000021,3
Jade Sweeting,E08000021,1
James Cook,E08000021,1
Jamie Tansley,E08000021,1
Janina Sabaliauskaite,E08000021,2
Jazz North East Ltd,E08000021,2
Jenny Mc Namara,E08000021,1
Jessica Bennett,E08000021,1
John Edgar,E08000021,1
John Kippin,E08000021,1
Juliet Fleming,E08000021,1
Karlene Thomas,E08000021,1
Kate Halsall,E08000021,1
Kathleen Jackson,E08000021,4
Kathryn Williams,E08000021,1
Katie Tranter,E08000021,1
Kerrin Tatman,E08000021,1
Laura Harrington,E08000021,1
Laura Johnston,E08000021,1
Laura Turner,E08000021,1
Lauren Stafford,E08000021,1
Lee Renforth,E08000021,1
Let's Circus,E08000021,2
Lewis Jobson,E08000021,1
Liberdade community development trust,E08000021,3
Lindsay Duncanson,E08000021,1
Little Inventors Worldwide Ltd,E08000021,2
Lizzy Mansfield,E08000021,1
Luca Rutherford,E08000021,5
Manpreet Kambo,E08000021,1
Martha Wheatley,E08000021,3
Mathieu Geffré,E08000021,1
Matthew Pickering,E08000021,3
Matthew Tuckey,E08000021,2
Megan Brown,E08000021,2
Melanie Rashbrooke,E08000021,7
Melody Sproates,E08000021,2
Merle Harbron,E08000021,1
Mi Viejo Fruta Ltd,E08000021,1
Michael John Heatley,E08000021,4
Michael MacDonald,E08000021,1
Mick Smith,E08000021,1
Monica Hardcastle,E08000021,1
Monkfish Productions CIC,E08000021,1
Monkfish Productions CIO,E08000021,1
Moving Art Management,E08000021,2
Moving Parts Arts,E08000021,4
Moving Parts Arts CIO,E08000021,3
NOVAK,E08000021,1
Neighbourhood Watch Stilts international,E08000021,1
New Writing North,E08000021,1
Newcastle Asian Arts and Music,E08000021,6
Newcastle Centre for the Literary Arts,E08000021,4
Newcastle City Council Culture,E08000021,2
Newcastle Libraries,E08000021,2
Nexus,E08000021,3
Nick Kennedy,E08000021,1
Nina Scott,E08000021,1
Northern Dance,E08000021,1
Northern Print,E08000021,1
Northumbria Architecture Society,E08000021,1
Northumbria University,E08000021,1
Notion Music Recordings Ltd,E08000021,1
Oliver Doe,E08000021,1
Olivia Hunt,E08000021,1
Open Clasp Theatre Company,E08000021,1
Patrick Ngabonziza,E08000021,2
Paul Miller,E08000021,4
Paul Turner,E08000021,1
Payal Ramchandani,E08000021,1
Pelican Theatre,E08000021,1
Petra Szeman,E08000021,1
Playing Up Theatre Company,E08000021,1
Polestar Studios,E08000021,1
Rebecca Glendenning-Laycock,E08000021,2
Rene McBrearty,E08000021,1
Rhianne Bowes,E08000021,1
Richard Bliss,E08000021,1
Richard Boggie,E08000021,1
Rosa Postlethwaite,E08000021,2
Rosa Stourac McCreery,E08000021,1
Rowan McCabe,E08000021,2
Sabina Sallis,E08000021,1
Samantha Neale,E08000021,1
Sarah Li,E08000021,2
Sebastian Trend,E08000021,1
Simon West,E08000021,1
Sister Shack,E08000021,1
Skimstone Arts,E08000021,5
SlamFresh,E08000021,3
Slugtown,E08000021,2
Southpaw Dance Company,E08000021,5
Steve Byron,E08000021,5
Steven Blackshaw,E08000021,1
Steven Moore,E08000021,1
Susie Green,E08000021,1
TUSK MUSIC PROJECTS,E08000021,1
Tallulah Lines,E08000021,1
Tamsin Rees,E08000021,2
Tatwood Puppets,E08000021,3
The Empty Space,E08000021,4
The Letter Room,E08000021,1
The Lubber Fiend,E08000021,1
Tim Dalling,E08000021,1
Timothy Burke,E08000021,1
Tusk Music,E08000021,2
Tyne & Wear Archives & Museums,E08000021,1
Tyne Bank Brewery Ltd,E08000021,1
Tyneside Cinema,E08000021,1
Tyneside Irish Cultural Society,E08000021,1
Unlock Music CIC,E08000021,4
Vane Contemporary Art Limited,E08000021,1
Wear and Tyne Festivals,E08000021,1
Wesley Stephenson,E08000021,7
William Steele,E08000021,2
Wolfgang Weileder,E08000021,1
Zoe Murtagh,E08000021,1
fanSHEN,E08000021,1
joana feijo,E08000021,1
katie cuddon,E08000021,1
sean burn,E08000021,5
tiny dragon Productins,E08000021,1
tiny dragon Productions,E08000021,2
