registered_name,company_number,postcode,sic_code,lat,long
PEOPLE'S THEATRE ARTS GROUP LIMITED,00242886,NE6 5QF,"['90010 - Performing arts', '90030 - Artistic creation']",54.990445,-1.584953
INSTITUTE OF AMATEUR CINEMATOGRAPHERS LIMITED(THE),00269085,NE3 2DT,"['63990 - Other information service activities n.e.c.', '90030 - Artistic creation', '94990 - Activities of other membership organizations n.e.c.']",55.023848,-1.620913
NEWCASTLE PEOPLE'S THEATRE ARTS TRUST LIMITED,00393739,NE6 5QF,['90040 - Operation of arts facilities'],54.990445,-1.584953
MAWSON & WAREHAM (MUSIC) LIMITED,00957980,NE1 5BP,"['58190 - Other publishing activities', '59112 - Video production activities', '59200 - Sound recording and music publishing activities']",54.973132,-1.613142
TYNESIDE CINEMA,01113101,NE1 6QG,['59140 - Motion picture projection activities'],54.973801,-1.611761
NEWCASTLE THEATRE ROYAL TRUST LIMITED,01217427,NE1 6BR,"['90020 - Support activities to performing arts', '90040 - Operation of arts facilities']",54.972706,-1.612021
JAZZ NORTH-EAST LIMITED,01357300,NE7 7AN,['90020 - Support activities to performing arts'],54.998678,-1.59331
TYNE AND WEAR BUILDING PRESERVATION TRUST LIMITED,01444058,NE3 3LS,['91030 - Operation of historical sites and buildings and similar visitor attractions'],55.010031,-1.622138
AN:ARTISTS INFORMATION COMPANY,01626331,NE1 1EW,['58190 - Other publishing activities'],54.97181,-1.612827
AWAY WITH THE FOG LIMITED,01645465,NE1 2PQ,['90030 - Artistic creation'],54.974814,-1.592361
NORTH EAST THEATRE TRUST LIMITED,01697756,NE1 3DQ,"['90030 - Artistic creation', '90040 - Operation of arts facilities']",54.96966,-1.604285
KENSINGTON WEST PRODUCTIONS LIMITED,01844574,NE1 1RJ,['58110 - Book publishing'],54.969652,-1.612301
LIVE THEATRE CO. LIMITED,01981484,NE1 3DQ,['90030 - Artistic creation'],54.96966,-1.604285
EQUAL ARTS LTD.,01992359,NE1 8AX,['90040 - Operation of arts facilities'],54.974992,-1.610437
A M C D (PUBLISHERS) LIMITED,02049025,NE3 4XE,['58110 - Book publishing'],55.000977,-1.63526
NORTHERN STAGE (THEATRICAL PRODUCTIONS) LIMITED,02187213,NE1 7RH,"['90010 - Performing arts', '90040 - Operation of arts facilities']",54.979335,-1.614082
ALPHA COMMUNICATION LIMITED,02187790,NE4 5TF,"['58142 - Publishing of  consumer and business journals and periodicals', '59112 - Video production activities', '70210 - Public relations and communications activities', '73110 - Advertising agencies']",54.972382,-1.623428
NEWCASTLE ARTS CENTRE TRUST LIMITED,02383592,NE1 1SG,['90040 - Operation of arts facilities'],54.970002,-1.617999
DANCE NORTH,02490618,NE1 4BR,['90040 - Operation of arts facilities'],54.970186,-1.622246
D6 CULTURE LTD,02632544,NE1 4XF,['90030 - Artistic creation'],54.971291,-1.619905
FIRST ACT THEATRE,02742066,NE13 9AR,"['90010 - Performing arts', '90030 - Artistic creation']",55.02368,-1.655091
BRUVVERS THEATRE COMPANY,02837215,NE1 2PQ,['90010 - Performing arts'],54.974814,-1.592361
TYNESIDE IRISH CULTURAL SOCIETY LIMITED,02892258,NE1 4SG,['90030 - Artistic creation'],54.973938,-1.618133
NORTHERN PRINT STUDIO LIMITED,02899117,NE1 2NP,"['18129 - Printing n.e.c.', '90040 - Operation of arts facilities']",54.974867,-1.594657
BOULEVARD MEDIA LIMITED,02933813,NE3 3HR,['90030 - Artistic creation'],55.012664,-1.634169
LOCUS +,02939638,NE1 5UD,['90020 - Support activities to performing arts'],54.971137,-1.618832
NORTH EAST MUSIC CO-OPERATIVE LIMITED,03079979,NE3 2DT,"['85520 - Cultural education', '85590 - Other education n.e.c.']",55.023848,-1.620913
LIVE TRADING LIMITED,03100229,NE1 3DQ,['90040 - Operation of arts facilities'],54.96966,-1.604285
VINE SOLUTIONS LIMITED,03131148,NE5 1NB,"['59200 - Sound recording and music publishing activities', '62012 - Business and domestic software development', '62020 - Information technology consultancy activities', '90030 - Artistic creation']",55.00311,-1.695524
NEW WRITING NORTH,03166037,NE1 8ST,['90020 - Support activities to performing arts'],54.976634,-1.60745
"SEVEN STORIES, THE NATIONAL CENTRE FOR CHILDRENâ€™S BOOKS LIMITED",03209411,NE1 2PQ,"['85520 - Cultural education', '91012 - Archives activities', '91020 - Museums activities']",54.974814,-1.592361
INTERNATIONAL CENTRE FOR LIFE TRUST,03225820,NE1 4EP,"['74909 - Other professional, scientific and technical activities n.e.c.', '85590 - Other education n.e.c.', '91030 - Operation of historical sites and buildings and similar visitor attractions']",54.967662,-1.620548
NORTH NEWS & PICTURES LIMITED,03263624,NE6 1TZ,"['59112 - Video production activities', '63910 - News agency activities']",54.96625,-1.573782
JAY TV LIMITED,03368347,NE1 3DX,"['59112 - Video production activities', '74202 - Other specialist photography', '96040 - Physical well-being activities']",54.970984,-1.599307
MSLEXIA PUBLICATIONS LIMITED,03374941,NE1 4JE,['58190 - Other publishing activities'],54.972816,-1.621424
JANET PLATER MANAGEMENT LIMITED,03417954,NE1 1LF,"['78101 - Motion picture, television and other theatrical casting activities']",54.969796,-1.610328
NEWCASTLE UPON TYNE CHAMBER MUSIC SOCIETY LIMITED,03433055,NE2 1HE,['90010 - Performing arts'],54.986768,-1.589758
PRIBRO INTERNATIONAL LIMITED,03482236,NE3 3HR,['59111 - Motion picture production activities'],55.012664,-1.634169
NORTHERN ROOTS,03539586,NE1 6BX,['90040 - Operation of arts facilities'],54.972398,-1.611337
YIPP FILMS LIMITED,03549317,NE2 1JR,['90030 - Artistic creation'],54.987872,-1.600045
TRINITY YOUTH ASSOCIATION,03557279,NE3 3LS,"['85510 - Sports and recreation education', '88910 - Child day-care activities', '90030 - Artistic creation']",55.010031,-1.622138
ANKETELL TRAINING LIMITED,03661827,NE3 1UT,['58190 - Other publishing activities'],55.009076,-1.618519
GENERATOR NORTH EAST LIMITED,03670235,NE1 3DE,"['82990 - Other business support service activities n.e.c.', '90020 - Support activities to performing arts']",54.969265,-1.604554
PINBALL FILMS LIMITED,03739500,NE1 4XF,['59111 - Motion picture production activities'],54.971291,-1.619905
TAYLOR FREDERICKS LIMITED,03812484,NE1 1RN,"['70229 - Management consultancy activities other than financial management', '74100 - specialised design activities', '74202 - Other specialist photography', '90030 - Artistic creation']",54.968147,-1.611144
NOSTALGIA STEEL BAND AND CARNIVAL CLUB LIMITED,03816660,NE3 3AT,"['85520 - Cultural education', '90010 - Performing arts']",55.006555,-1.649734
TYNE THEATRE AND OPERA HOUSE PRESERVATION TRUST,03874271,NE1 4AG,"['90020 - Support activities to performing arts', '90040 - Operation of arts facilities', '91012 - Archives activities', '91030 - Operation of historical sites and buildings and similar visitor attractions']",54.970588,-1.621539
THE CRACK LIMITED,03949330,NE6 5PH,['58190 - Other publishing activities'],54.979187,-1.587929
LAURA JOHNSTON LIGHTWORKS LTD,03972743,NE1 2PQ,['90030 - Artistic creation'],54.974814,-1.592361
GALLIVANTING PICTURES LIMITED,04141934,NE3 3HR,"['59111 - Motion picture production activities', '59112 - Video production activities', '90030 - Artistic creation']",55.012664,-1.634169
SEVEN STORIES TRADING LIMITED,04177830,NE1 2PQ,['91020 - Museums activities'],54.974814,-1.592361
CAMBRIDGE SCHOLARS PUBLISHING LTD,04333775,NE6 2PA,['58110 - Book publishing'],54.974422,-1.556686
MARK HUGHES LIMITED,04373073,NE3 3LS,['90030 - Artistic creation'],55.010031,-1.622138
MICHAEL WARD DESIGN LIMITED,04381279,NE1 5DZ,['58190 - Other publishing activities'],54.969146,-1.620116
FLOODED CELLAR PRODUCTIONS LIMITED,04398705,NE6 5NX,"['59112 - Video production activities', '59113 - Television programme production activities', '63990 - Other information service activities n.e.c.', '74209 - Photographic activities not elsewhere classified']",54.981271,-1.582564
CLOAK PRODUCTIONS LIMITED,04464234,NE2 1TJ,"['59112 - Video production activities', '59113 - Television programme production activities']",54.984767,-1.603998
INPRESS LIMITED,04537051,NE1 1LF,['58190 - Other publishing activities'],54.969796,-1.610328
BASEHQ LIMITED,04576281,NE4 7HX,['90020 - Support activities to performing arts'],54.962003,-1.635781
FRAMEWERK LTD,04638941,NE5 1NB,"['59111 - Motion picture production activities', '59112 - Video production activities']",55.00311,-1.695524
DEJAVU VIDEO LIMITED,04640061,NE1 4XN,['59111 - Motion picture production activities'],54.971804,-1.619388
GIBBER THEATRE LIMITED,04663289,NE3 1HN,['90020 - Support activities to performing arts'],55.008496,-1.620588
LOCUS + PUBLISHING LIMITED,04858278,NE1 5UD,['91011 - Library activities'],54.971137,-1.618832
BRIDGE + TUNNEL PRODUCTIONS,04880685,NE1 1EW,['59111 - Motion picture production activities'],54.97181,-1.612827
TRICIA MCKENZIE KNITWEAR DESIGNER LTD,04925339,NE3 3BS,['90030 - Artistic creation'],55.004068,-1.644269
EXHIBITION RESOURCE LIMITED,04940645,NE3 2SG,['58190 - Other publishing activities'],55.013358,-1.6726
REDBRAND MDH LIMITED,05078110,NE5 1SQ,['59112 - Video production activities'],55.000156,-1.707442
K & T ASSOCIATES LIMITED,05082781,NE15 8TA,"['58190 - Other publishing activities', '61900 - Other telecommunications activities']",54.985504,-1.716909
BALLET LORENT LIMITED,05093450,NE15 6TT,['90010 - Performing arts'],54.976737,-1.686097
ROUND SUN LIMITED,05105951,NE15 9RX,['58190 - Other publishing activities'],54.99543,-1.743489
OPEN CLASP THEATRE COMPANY,05137687,NE4 6SQ,['90010 - Performing arts'],54.968611,-1.639318
NEURO-SONIC LTD,05315081,NE6 5XH,['90020 - Support activities to performing arts'],54.985541,-1.58041
ANGELMOON ENTERPRISES LIMITED,05328234,NE3 5RS,"['32990 - Other manufacturing n.e.c.', '59200 - Sound recording and music publishing activities', '90010 - Performing arts']",55.026326,-1.632121
THE GUILD OF LILLIANS,05485468,NE2 1HP,['90010 - Performing arts'],54.986458,-1.590964
MYRMIDON BOOKS LIMITED,05498285,NE1 3DY,['58190 - Other publishing activities'],54.97132,-1.597491
NORTH EAST PUBLISHING LIMITED,05512843,NE6 5QB,['58190 - Other publishing activities'],54.987308,-1.581876
PUPPETSHIP COMMUNITY INTEREST COMPANY,05686370,NE1 2PQ,['90030 - Artistic creation'],54.974814,-1.592361
ATV NETWORK LIMITED,05691952,NE3 3YF,"['58190 - Other publishing activities', '59113 - Television programme production activities']",55.00505,-1.664381
NETWORK ARTISTS LTD,05898491,NE4 8SH,['90030 - Artistic creation'],54.971804,-1.652692
MEERKAT FILM PRODUCTIONS LTD,05902439,NE6 5NT,['59111 - Motion picture production activities'],54.980785,-1.582225
BLUE KANGAROO DESIGN LIMITED,05931200,NE1 1PG,['90030 - Artistic creation'],54.970488,-1.609809
HAWKFEST LIMITED,06008999,NE15 7LU,"['90010 - Performing arts', '90020 - Support activities to performing arts', '90030 - Artistic creation']",54.98624,-1.70534
ASSURANCE PUBLICATIONS LIMITED,06090123,NE5 2QJ,['58190 - Other publishing activities'],54.986744,-1.664065
THE LITERARY & PHILOSOPHICAL SOCIETY OF NEWCASTLE UPON TYNE,06220953,NE1 1SE,['91011 - Library activities'],54.969197,-1.613461
SKIMSTONE ARTS,06261728,NE2 1AL,"['90010 - Performing arts', '90030 - Artistic creation', '90040 - Operation of arts facilities']",54.978039,-1.599283
JOHNNY GENIUS LIMITED,06298082,NE4 7YL,['90030 - Artistic creation'],54.961211,-1.644612
THE HEART OF THE CITY PARTNERSHIP,06373460,NE2 1TJ,['91030 - Operation of historical sites and buildings and similar visitor attractions'],54.984767,-1.603998
4MEDIAS LTD,06438912,NE6 5XS,"['59111 - Motion picture production activities', '59112 - Video production activities', '74909 - Other professional, scientific and technical activities n.e.c.']",54.9841,-1.579346
SA PERFORMING ARTS CENTRE LIMITED,06519709,NE6 1ED,"['85320 - Technical and vocational secondary education', '85520 - Cultural education', '90010 - Performing arts', '90040 - Operation of arts facilities']",54.977175,-1.5752
NORTHERN CULTURAL PROJECTS (NCP) COMMUNITY INTEREST COMPANY,06532913,NE6 1EG,['90030 - Artistic creation'],54.974845,-1.577069
LIBERDADE COMMUNITY DEVELOPMENT TRUST,06548122,NE3 3HD,['90010 - Performing arts'],55.01106,-1.630352
S D WALLACE LOCAL CREW LIMITED,06669942,NE7 7LN,['90020 - Support activities to performing arts'],54.996192,-1.570686
SPIRITI LTD,06680533,NE3 2HN,['90030 - Artistic creation'],55.015954,-1.622645
VITA NOVA FILMS LTD,06714378,NE1 1JF,"['59111 - Motion picture production activities', '59112 - Video production activities']",54.969968,-1.613654
WUNDERBAR FESTIVAL C.I.C.,06735572,NE2 1AL,['90030 - Artistic creation'],54.978039,-1.599283
UNFOLDING THEATRE,06764666,NE1 2NP,['90010 - Performing arts'],54.974867,-1.594657
DIFFERENT TAKE LIMITED,06779559,NE3 5TB,"['59112 - Video production activities', '59113 - Television programme production activities']",55.027208,-1.620881
NEWCASTLE PANTO LIMITED,06782210,NE3 3PF,['90010 - Performing arts'],55.011201,-1.623642
SHUDDER FILMS LIMITED,06785295,NE1 4BB,['59111 - Motion picture production activities'],54.96677,-1.621965
BRIDGE + TUNNEL FILMS LTD,06790595,NE1 1EW,['90030 - Artistic creation'],54.97181,-1.612827
GU PUBLISHING LIMITED,06862830,NE1 6UF,['90030 - Artistic creation'],54.97297,-1.608298
DAY DOT PRODUCTIONS LTD,06872444,NE6 5YD,"['59111 - Motion picture production activities', '59112 - Video production activities']",54.983249,-1.577558
MANGO STUDIO PRODUCTIONS LTD,06999563,NE6 2DW,['59112 - Video production activities'],54.974638,-1.579602
ALEX BUTLER MUSIC LIMITED,07021710,NE2 1QP,['90030 - Artistic creation'],54.982028,-1.602461
ELLIE COOPER LTD,07022664,NE3 2AX,['58110 - Book publishing'],55.020935,-1.644307
PANTHEON MACROECONOMICS LTD.,07076751,NE1 1PG,['58190 - Other publishing activities'],54.970488,-1.609809
THE EXCHANGE NORTH TYNESIDE LIMITED,07113978,NE1 4JE,['90030 - Artistic creation'],54.972816,-1.621424
AURAL X-OTIKA LIMITED,07139251,NE4 5AY,"['59112 - Video production activities', '59120 - Motion picture, video and television programme post-production activities', '59200 - Sound recording and music publishing activities', '90030 - Artistic creation']",54.97869,-1.632134
BAMBOO MEDIA PRODUCTIONS LIMITED,07207645,NE1 2DF,['59112 - Video production activities'],54.971956,-1.589578
AMBER FILM & PHOTOGRAPHY COLLECTIVE CIC,07218282,NE1 3JE,"['59111 - Motion picture production activities', '59140 - Motion picture projection activities', '91012 - Archives activities']",54.96919,-1.608416
TONY SAINT LTD,07311913,NE2 1TJ,['90030 - Artistic creation'],54.984767,-1.603998
TYNE & WEAR ARCHIVES & MUSEUMS DEVELOPMENT TRUST,07334262,NE1 4JA,"['91012 - Archives activities', '91020 - Museums activities']",54.969142,-1.624755
ARCUS STUDIOS LTD,07350999,NE2 1AN,"['59111 - Motion picture production activities', '59112 - Video production activities']",54.976097,-1.597019
THE NORTHUMBRIAN PIPERS' SOCIETY,07471625,NE1 4BF,['90010 - Performing arts'],54.974093,-1.618757
SUMMERHILL TRUST LTD,07476591,NE4 6EH,"['88990 - Other social work activities without accommodation n.e.c.', '90040 - Operation of arts facilities', '93110 - Operation of sports facilities']",54.970647,-1.628802
EVA IBBOTSON ESTATES LTD,07487988,NE1 4AD,['58190 - Other publishing activities'],54.966348,-1.622716
RED OLIVE ART LIMITED,07489456,NE1 2PQ,['90030 - Artistic creation'],54.974814,-1.592361
TIMEC 1306 LIMITED,07516395,NE6 2PA,['58110 - Book publishing'],54.974422,-1.556686
NICE GUY EDDIE LIMITED,07550799,NE6 5JA,['59112 - Video production activities'],54.98292,-1.58389
TRYLIFE LIMITED,07551642,NE6 5JA,['59112 - Video production activities'],54.98292,-1.58389
PREFAB 77 LIMITED,07559525,NE3 1UL,['90030 - Artistic creation'],55.008697,-1.615161
UK LANGUAGE PROJECT LTD.,07613774,NE1 3NG,['85520 - Cultural education'],54.968366,-1.612141
LITTLE BIG MOUTH THEATRE COMMUNITY INTEREST COMPANY,07669706,NE6 5LU,['90020 - Support activities to performing arts'],54.987447,-1.57553
BEACON FILMS CIC,07740648,NE6 1PB,['90030 - Artistic creation'],54.977498,-1.575507
NE14.TV LTD,07781207,NE6 1LH,"['78101 - Motion picture, television and other theatrical casting activities']",54.974253,-1.591008
JESMOND LOCAL LTD,07860798,NE7 7BY,['58190 - Other publishing activities'],54.996204,-1.5926
MIKE GIBLIN ILLUSTRATION LIMITED,07862651,NE4 7YL,['90030 - Artistic creation'],54.961211,-1.644612
BLENDED! EVENTS LIMITED,07934482,NE6 3QG,['90010 - Performing arts'],54.974923,-1.541432
FOCAL POINT SCHOOLS LTD,07990512,NE3 2JA,['58190 - Other publishing activities'],55.017448,-1.626353
AUTISM LIVE FOREVER C.I.C.,08002223,NE1 8AF,"['59200 - Sound recording and music publishing activities', '88990 - Other social work activities without accommodation n.e.c.', '90020 - Support activities to performing arts', '93290 - Other amusement and recreation activities n.e.c.']",54.975264,-1.608885
SHAKIRUL ALAM PICTURES LIMITED,08166020,NE6 5RB,['59111 - Motion picture production activities'],54.99115,-1.580679
DIM SUM DIGITAL LTD,08177425,NE7 7LX,"['58190 - Other publishing activities', '59112 - Video production activities', '70229 - Management consultancy activities other than financial management']",55.007932,-1.595405
HOOK PICTURES LTD,08232842,NE4 9DD,['59111 - Motion picture production activities'],54.983025,-1.648361
BASKETMEDIA365 LIMITED,08255986,NE15 7LD,['58190 - Other publishing activities'],54.984376,-1.707385
STEELBAND MUSIC LTD,08273076,NE3 3AT,"['85200 - Primary education', '90020 - Support activities to performing arts']",55.006555,-1.649734
WINE FRIENDLY LIMITED,08306046,NE1 4JE,['85520 - Cultural education'],54.972816,-1.621424
FULL BLOWN METALS LTD,08412958,NE2 1AN,['90030 - Artistic creation'],54.976097,-1.597019
ESSENTIAL DJS LIMITED,08419464,NE4 7YL,['90020 - Support activities to performing arts'],54.961211,-1.644612
FRIENDS OF JESMOND LIBRARY,08430250,NE2 2DL,['91011 - Library activities'],54.993462,-1.605726
LORD RICHARD MACLEOD LTD,08451089,NE1 5JE,['90030 - Artistic creation'],54.970856,-1.615895
SNCG ECOSCAPES LTD,08456355,NE5 4HR,"['01300 - Plant propagation', '02100 - Silviculture and other forestry activities', '85520 - Cultural education']",55.007773,-1.687952
CLEAR AND LOUD LIMITED,08457400,NE1 6UF,['90020 - Support activities to performing arts'],54.97297,-1.608298
ACTIVE NORTHUMBERLAND,08484436,NE2 1TJ,"['91011 - Library activities', '91030 - Operation of historical sites and buildings and similar visitor attractions', '93110 - Operation of sports facilities']",54.984767,-1.603998
DESIGN F LIMITED,08528138,NE4 7YL,"['74100 - specialised design activities', '90030 - Artistic creation']",54.961211,-1.644612
CURIOUS MONKEY LTD,08550041,NE4 9PQ,['90010 - Performing arts'],54.974525,-1.649417
BOXKITE LTD,08608446,NE6 5RJ,"['58110 - Book publishing', '59111 - Motion picture production activities']",54.989259,-1.584825
YES FRIENDS LIMITED,08712153,NE3 3LS,['90010 - Performing arts'],55.010031,-1.622138
GIG FOOT TOURING LTD,08842872,NE4 9EH,['90020 - Support activities to performing arts'],54.985877,-1.649649
HOW TO LIVE LIMITED,08909102,NE4 5NL,['58190 - Other publishing activities'],54.974446,-1.64025
CAP-A-PIE ENGAGEMENTS,08938843,NE2 1AN,"['90010 - Performing arts', '90020 - Support activities to performing arts']",54.976097,-1.597019
COBALT TOO C.I.C.,08966471,NE2 1AP,['90040 - Operation of arts facilities'],54.97651,-1.596189
LIVEWORKS (NEWCASTLE UPON TYNE) LTD,08981067,NE1 3DQ,['90040 - Operation of arts facilities'],54.96966,-1.604285
BREEZE CREATIVES COMMUNITY INTEREST COMPANY,09040279,NE15 6TT,['90040 - Operation of arts facilities'],54.976737,-1.686097
ALISONPRODUCTIONSERVICES LTD,09076584,NE5 1UH,['59112 - Video production activities'],55.00292,-1.717162
CHRIS CHATTERTON ILLUSTRATION LTD,09096430,NE3 3LS,['90030 - Artistic creation'],55.010031,-1.622138
MICRO FILM LTD,09108153,NE1 5UD,['59111 - Motion picture production activities'],54.971137,-1.618832
NORTH EAST ARABIC LANGUAGE ACADEMY LTD,09109585,NE4 9PN,['85520 - Cultural education'],54.974443,-1.648389
PEEP LTD,09133336,NE7 7LN,"['59112 - Video production activities', '73120 - Media representation services', '74202 - Other specialist photography', '74209 - Photographic activities not elsewhere classified']",54.996192,-1.570686
PAUL TAYLOR SOUND AND LIGHTING LTD,09135343,NE5 3NH,['90020 - Support activities to performing arts'],54.990179,-1.664755
DAYMON BRITTON LIMITED,09173067,NE6 1AS,['59112 - Video production activities'],54.969579,-1.582885
VOICECRAFT STUDIO LTD,09203153,NE1 1JF,['90010 - Performing arts'],54.969968,-1.613654
CHARLOTTE GARDINER LTD,09252062,NE2 2AJ,['90010 - Performing arts'],54.988957,-1.604863
NORTHERN STAGE ENTERPRISES LIMITED,09261522,NE1 7RH,['90020 - Support activities to performing arts'],54.979335,-1.614082
JAY JOHNSTONE AND CO LIMITED,09290308,NE3 4XE,['58190 - Other publishing activities'],55.000977,-1.63526
COMEDY SUPPORT ACT UK LTD,09295341,NE3 4HH,['90020 - Support activities to performing arts'],55.005318,-1.626622
CTA PRODUCTIONS LIMITED,09295944,NE3 5AA,['59112 - Video production activities'],55.024319,-1.625085
TYNE THEATRE & OPERA HOUSE LIMITED,09330825,NE1 4AG,['90040 - Operation of arts facilities'],54.970588,-1.621539
LEIGHTON DESIGN & SCULPTING LIMITED,09364641,NE6 3NT,['90030 - Artistic creation'],54.968227,-1.546085
NORTHSTAR AUDIO VISUAL LIMITED,09388956,NE3 5TS,"['90020 - Support activities to performing arts', '98200 - Undifferentiated service-producing activities of private households for own use']",55.02717,-1.628703
DIGITALFIRE LTD,09436747,NE3 1DX,['59112 - Video production activities'],55.006597,-1.624828
ELIOT SMITH COMPANY LIMITED,09442391,NE2 1DJ,['90010 - Performing arts'],54.980341,-1.600665
MOJO RISIN' PUBLISHING LIMITED,09463181,NE1 5UD,['90030 - Artistic creation'],54.971137,-1.618832
JAZZ CO-OP,09487859,NE2 3LN,['90020 - Support activities to performing arts'],54.996493,-1.612011
FIRST AV LIMITED,09534810,NE4 7YL,['59112 - Video production activities'],54.961211,-1.644612
JACKDAW MEDIA LIMITED,09535122,NE7 7LX,"['59112 - Video production activities', '59132 - Video distribution activities']",55.007932,-1.595405
BEESTON AND DANIEL LTD,09559096,NE3 2YR,['58190 - Other publishing activities'],55.01726,-1.657101
