registered_name,company_number,postcode,sic_code,lat,long
THE TRIAL PRODUCTION LTD,09609738,NE4 9DD,['59111 - Motion picture production activities'],54.983025,-1.648361
ALMUSTASHARA SATELLITE TELEVISION CHANNEL LTD,09665374,NE5 5HP,['90030 - Artistic creation'],54.999603,-1.694378
THE PERSIAN SPIRIT COMPANY LTD,09669829,NE1 1EW,['59111 - Motion picture production activities'],54.97181,-1.612827
SOUTHPAW DANCE COMPANY LTD,09689048,NE1 4BR,['90010 - Performing arts'],54.970186,-1.622246
SUZIE WINSOR LIMITED,09738635,NE3 1DP,['90030 - Artistic creation'],55.009793,-1.623594
10FOOTBALLS LIMITED,09766050,NE4 7YD,['90030 - Artistic creation'],54.960913,-1.640882
CHALK COLLECTIVE C.I.C.,09778916,NE2 1BB,['90040 - Operation of arts facilities'],54.9794,-1.595971
LEGACY ENTERTAINMENT GROUP LTD,09800156,NE5 5NR,['90010 - Performing arts'],54.997423,-1.70679
MAGNETIC NORTH EAST CIC,09901500,NE1 4BF,"['90010 - Performing arts', '90020 - Support activities to performing arts', '90030 - Artistic creation']",54.974093,-1.618757
FACTORY 35 LIMITED,09910494,NE1 2DF,"['74202 - Other specialist photography', '91011 - Library activities']",54.971956,-1.589578
NORTH EAST THEATRE TRUST PRODUCTIONS LIMITED,09937841,NE1 3DQ,['90020 - Support activities to performing arts'],54.96966,-1.604285
RD AGENCY LTD,09948619,NE3 1DL,['90020 - Support activities to performing arts'],55.008162,-1.622124
MDM AGENCY LTD,09948629,NE3 1DL,['90020 - Support activities to performing arts'],55.008162,-1.622124
LUMOSCAPE LTD,09952243,NE5 2JJ,['90020 - Support activities to performing arts'],54.982319,-1.682743
ZIESTO LIMITED,09954776,NE4 7ET,['90030 - Artistic creation'],54.963603,-1.635224
A-YA DESIGN LTD,09977665,NE5 1NB,['90030 - Artistic creation'],55.00311,-1.695524
RAY WRITING LTD,10008293,NE2 3AH,['90030 - Artistic creation'],54.988229,-1.608229
NICE SWAN ACADEMY LTD,10032876,NE1 3NG,['90010 - Performing arts'],54.968366,-1.612141
GATECRASH FILM LIMITED,10078780,NE2 3DH,['59111 - Motion picture production activities'],54.991936,-1.609179
CLOCKWORK DREAMS LIMITED,10080057,NE5 2ET,['59112 - Video production activities'],54.980767,-1.676865
SEVENTHREE PRODUCTIONS LIMITED,10124805,NE1 2EQ,['59112 - Video production activities'],54.970792,-1.606447
HAND OF LTD,10156422,NE1 3XP,"['85520 - Cultural education', '90020 - Support activities to performing arts']",54.969416,-1.606786
BIRDVIEW AERIAL LTD,10195448,NE3 2RZ,['59112 - Video production activities'],55.012197,-1.675346
TECHTO LIMITED,10195502,NE3 2EJ,['58190 - Other publishing activities'],55.023491,-1.627486
TALES FROM THE LODGE LIMITED,10267343,NE4 9DD,['59111 - Motion picture production activities'],54.983025,-1.648361
DEADWOOD STUDIO LIMITED,10321925,NE3 1HN,"['16290 - Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials', '90030 - Artistic creation']",55.008496,-1.620588
GVO MEDIA LTD.,10354360,NE4 9QX,['90020 - Support activities to performing arts'],54.977583,-1.655955
DAVISON MEDIA LIMITED,10368709,NE3 3PF,['59111 - Motion picture production activities'],55.011201,-1.623642
THE CLUNY (NEWCASTLE) EVENTS LIMITED,10432439,NE1 2PQ,['90010 - Performing arts'],54.974814,-1.592361
GOLDFINCH FINANCE LIMITED,10510413,NE2 3DH,['59111 - Motion picture production activities'],54.991936,-1.609179
TYNE VALLEY FOLK TRAIN CIC,10518384,NE3 1NJ,"['90010 - Performing arts', '90020 - Support activities to performing arts']",55.004828,-1.610977
DAVISON CREATIVE LTD,10531760,NE5 1EL,"['71111 - Architectural activities', '90030 - Artistic creation']",54.995192,-1.721311
LAURA MARY ART LIMITED,10545100,NE3 5SY,['90030 - Artistic creation'],55.027593,-1.620377
I2CONTENT LIMITED,10567461,NE2 1SQ,['58190 - Other publishing activities'],54.981972,-1.603869
I2DIGITAL LIMITED,10567462,NE2 1SQ,['58190 - Other publishing activities'],54.981972,-1.603869
THE NEWBRIDGE PROJECT,10582100,NE2 1AL,"['90030 - Artistic creation', '90040 - Operation of arts facilities']",54.978039,-1.599283
FERTILE GROUND DANCE LTD,10599285,NE1 4BR,['90010 - Performing arts'],54.970186,-1.622246
GEORDIE LIMITED,10606170,NE3 1RX,"['73110 - Advertising agencies', '74100 - specialised design activities', '90030 - Artistic creation']",55.007688,-1.605899
THE COMMON ROOM OF THE GREAT NORTH LIMITED,10609517,NE1 1SE,"['91012 - Archives activities', '91020 - Museums activities']",54.969197,-1.613461
I2E-COMMS LTD,10672414,NE2 1SQ,['58190 - Other publishing activities'],54.981972,-1.603869
INDSAY LIMITED,10723156,NE2 2HD,"['26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control', '58110 - Book publishing', '59112 - Video production activities', '60100 - Radio broadcasting']",54.993924,-1.598656
AIBA CONSULTANCY LTD,10759453,NE5 3LD,"['70210 - Public relations and communications activities', '70229 - Management consultancy activities other than financial management', '85520 - Cultural education', '85590 - Other education n.e.c.']",54.992456,-1.662892
ABSOLUTE MAKEUP LTD,10761046,NE7 7RE,['90030 - Artistic creation'],55.002951,-1.586732
TIKU THE FILM LTD,10805664,NE1 1EW,['59111 - Motion picture production activities'],54.97181,-1.612827
NORTHUMBRIA STUDENTS' UNION,10807853,NE1 8SB,"['56302 - Public houses and bars', '90010 - Performing arts', '94990 - Activities of other membership organizations n.e.c.']",54.979822,-1.608828
I2MEDIA GROUP LIMITED,10807900,NE2 1SQ,['58190 - Other publishing activities'],54.981972,-1.603869
PRODCOMPANY SERVICES LTD,10813276,NE1 1PG,['59112 - Video production activities'],54.970488,-1.609809
VIOLA LEVY LTD,10833394,NE4 7YL,['58190 - Other publishing activities'],54.961211,-1.644612
THE CLUNY 2 LIMITED,10856603,NE1 2PQ,['90010 - Performing arts'],54.974814,-1.592361
JENNIFER TATE COPYWRITING LIMITED,10928942,NE3 1TY,['58190 - Other publishing activities'],55.00816,-1.618856
MOTH STUDIOS LTD,10930972,NE3 2AX,['90030 - Artistic creation'],55.020935,-1.644307
TWAM ENTERPRISES LTD,10940488,NE1 4JA,"['47789 - Other retail sale of new goods in specialised stores (not commercial art galleries and opticians)', '56210 - Event catering activities', '91020 - Museums activities']",54.969142,-1.624755
STUDIO LP CREATIVE LIMITED,10944820,NE3 4YB,['90030 - Artistic creation'],54.996511,-1.627297
HAVING A PARTY LIMITED,10944917,NE1 3NG,"['47190 - Other retail sale in non-specialised stores', '47910 - Retail sale via mail order houses or via Internet', '82990 - Other business support service activities n.e.c.', '90030 - Artistic creation']",54.968366,-1.612141
CULTAHOLIC VENTURES LIMITED,10949403,NE2 1BP,"['59112 - Video production activities', '63910 - News agency activities']",54.975861,-1.596225
TURPENTYNE LTD,10951538,NE3 4XN,['85520 - Cultural education'],55.002601,-1.634636
KIRSTAL HOLDINGS LIMITED,10962314,NE2 3DH,['59111 - Motion picture production activities'],54.991936,-1.609179
BANG ON BOOKS LTD,10975558,NE1 3PG,['58110 - Book publishing'],54.965775,-1.620441
NEWCASTLE INTERNATIONAL ACADEMY LIMITED,11016078,NE1 4HZ,['85520 - Cultural education'],54.970172,-1.624196
NORTHUMBERLAND ORCHESTRA CONCERT PRODUCTIONS LTD,11031846,NE2 2PL,['90010 - Performing arts'],54.992468,-1.601328
CANNY CRAFTY LTD,11033137,NE3 1DU,['90030 - Artistic creation'],55.006298,-1.624439
ALL GRAPHICS LIMITED,11068912,NE13 9DB,['90030 - Artistic creation'],55.028898,-1.64785
ICR PUBLICATIONS LTD,11103162,NE4 6UL,"['58110 - Book publishing', '58141 - Publishing of learned journals', '58190 - Other publishing activities', '69202 - Bookkeeping activities']",54.972661,-1.642028
HUMBLE ANGEL RECORDS LIMITED,11128988,NE7 7LX,['90010 - Performing arts'],55.007932,-1.595405
YOUR AMAZING CONTENT LTD,11130279,NE7 7GN,"['58190 - Other publishing activities', '63990 - Other information service activities n.e.c.']",54.999632,-1.560191
DANCE FUSION EXTREME CIC,11175079,NE15 7SW,['90010 - Performing arts'],54.979127,-1.699658
ALPHABETTI TRADING LIMITED,11214355,NE1 4HP,['90020 - Support activities to performing arts'],54.969103,-1.623631
EDGE OF NOWHERE LTD,11257393,NE4 7YA,['90030 - Artistic creation'],54.962685,-1.647801
HEART AND SOUL TELEVISION & FILM LIMITED,11259727,NE4 7YL,['59112 - Video production activities'],54.961211,-1.644612
CLOSE GRIPS LIMITED,11292179,NE3 5NP,['59111 - Motion picture production activities'],55.0277,-1.625741
THE FEWER THINGS LTD,11300169,NE1 3NG,"['85520 - Cultural education', '85600 - Educational support services']",54.968366,-1.612141
MEDIA BORNE LIMITED,11314248,NE4 7YL,"['59111 - Motion picture production activities', '59112 - Video production activities', '74202 - Other specialist photography']",54.961211,-1.644612
GYGG LIMITED,11340944,NE6 5XH,['90020 - Support activities to performing arts'],54.985541,-1.58041
TAKETH BLACK LTD,11371905,NE7 7RN,['90030 - Artistic creation'],54.993244,-1.578094
MARSHALL89 LTD,11372557,NE1 8AP,['59112 - Video production activities'],54.974302,-1.608645
WHICH WITCH LTD,11402901,NE1 1EW,['90030 - Artistic creation'],54.97181,-1.612827
PLOXEL LIMITED,11415771,NE1 2DF,['90020 - Support activities to performing arts'],54.971956,-1.589578
OVERLAY COUTURE LIMITED,11446782,NE4 6NQ,"['32120 - Manufacture of jewellery and related articles', '90030 - Artistic creation']",54.972807,-1.633047
INSIGHT OUT ENTERTAINMENT LIMITED,11485379,NE6 1LH,['90020 - Support activities to performing arts'],54.974253,-1.591008
PR MARKETING SOLUTIONS LIMITED,11485631,NE1 3PZ,"['90010 - Performing arts', '90030 - Artistic creation', '93120 - Activities of sport clubs']",54.967727,-1.624078
SWEET SERENITY LIMITED,11490584,NE15 6LF,['90030 - Artistic creation'],54.975155,-1.671848
EURYDICE GAMES LTD,11497914,NE3 1PU,['58190 - Other publishing activities'],55.003339,-1.606207
BUSINESS WORKS INTERNATIONAL LTD,11537680,NE3 3LS,['58190 - Other publishing activities'],55.010031,-1.622138
MUSLIM BROTHERS AND SISTERS ASSOCIATION CENTER LTD,11543185,NE5 3AS,"['85520 - Cultural education', '85600 - Educational support services']",54.990626,-1.65414
TATWOOD PUPPETS LTD,11547347,NE4 6AS,"['90010 - Performing arts', '90030 - Artistic creation']",54.970694,-1.624644
NORTH EAST WILDS CIC,11559289,NE3 1QL,"['85520 - Cultural education', '88990 - Other social work activities without accommodation n.e.c.', '96040 - Physical well-being activities']",55.004245,-1.603571
ALEC GORDON PRODUCTIONS LIMITED,11605961,NE2 2RN,['90010 - Performing arts'],54.991545,-1.596711
CODENAME MUSIC LTD.,11636052,NE1 3DY,"['59200 - Sound recording and music publishing activities', '90030 - Artistic creation']",54.97132,-1.597491
NM MEDIA GROUP LTD,11685256,NE13 9EX,"['59112 - Video production activities', '74202 - Other specialist photography']",55.034135,-1.663964
GATESHEAD STADIUM PANTO LTD,11695186,NE3 3PF,['90010 - Performing arts'],55.011201,-1.623642
TRANSNATIONAL FILMS LTD,11697007,NE5 2QP,['59112 - Video production activities'],54.983959,-1.667276
ROMA ACCESS NEWCASTLE UPON TYNE ASSOCIATION C.I.C.,11699887,NE15 6UN,"['85510 - Sports and recreation education', '85520 - Cultural education', '85590 - Other education n.e.c.', '88990 - Other social work activities without accommodation n.e.c.']",54.974191,-1.677636
ODDITY STUDIOS LIMITED,11753666,NE6 2HL,"['90030 - Artistic creation', '96020 - Hairdressing and other beauty treatment']",54.970149,-1.581302
PAJINATION LTD,11759057,NE13 9EP,['58190 - Other publishing activities'],55.032739,-1.640821
QUAYSIDE PRODUCTIONS LTD,11764041,NE3 2FD,"['78101 - Motion picture, television and other theatrical casting activities']",55.010151,-1.677379
RORY KAUFHOLD LIMITED,11772522,NE6 5QR,['59112 - Video production activities'],54.989607,-1.578992
C'EST L'ADORE LIMITED,11777892,NE6 5NN,"['59200 - Sound recording and music publishing activities', '90010 - Performing arts']",54.979506,-1.584082
ORIGINAL GALLERY LTD,11802520,NE6 4SR,"['90030 - Artistic creation', '96020 - Hairdressing and other beauty treatment']",54.988895,-1.545899
HUSH ENTERTAINMENTS LTD,11808904,NE4 5NS,"['46160 - Agents involved in the sale of textiles, clothing, fur, footwear and leather goods', '59200 - Sound recording and music publishing activities', '90020 - Support activities to performing arts', '90030 - Artistic creation']",54.976515,-1.640856
CHINA LONG LTD.,11818966,NE6 5DR,"['46190 - Agents involved in the sale of a variety of goods', '62020 - Information technology consultancy activities', '79110 - Travel agency activities', '85520 - Cultural education']",54.986393,-1.571978
LYONS ART LIMITED,11855133,NE5 3EH,"['74100 - specialised design activities', '90030 - Artistic creation']",54.997016,-1.664308
WATERFALL NEWCASTLE LTD,11867611,NE3 1NZ,"['59112 - Video production activities', '74202 - Other specialist photography']",55.004061,-1.598868
VOICES OF VIRTUE GOSPEL CHOIR,11882573,NE6 2AR,['90010 - Performing arts'],54.971286,-1.580087
NE14.TV PRODUCTIONS COMMUNITY INTEREST COMPANY,11916023,NE6 1LH,['90010 - Performing arts'],54.974253,-1.591008
POWEREDBYREC. LIMITED,11953745,NE2 1LA,['90010 - Performing arts'],54.9871,-1.594724
CREATIVE SPACES NORTH EAST C.I.C.,11959787,NE3 3QH,['90030 - Artistic creation'],55.004558,-1.652144
NORTHERN DESIGN HAPPENS LIMITED,12061961,NE1 2NP,['85520 - Cultural education'],54.974867,-1.594657
SHACKVILLE LTD,12090291,NE1 4XF,['59111 - Motion picture production activities'],54.971291,-1.619905
FIRESTONE VIDEO LTD,12096765,NE4 7YL,['59112 - Video production activities'],54.961211,-1.644612
EXHIBITIONS BY TWAM LIMITED,12106351,NE1 4JA,"['91012 - Archives activities', '91020 - Museums activities']",54.969142,-1.624755
MAYDIA LIMITED,12114215,NE5 2LH,['90020 - Support activities to performing arts'],54.997777,-1.686811
JOSHUA M KERR LTD,12125851,NE6 3AB,['59112 - Video production activities'],54.975232,-1.552162
AK CREATIVE CONSULTANCY LIMITED,12178347,NE1 2BE,"['59112 - Video production activities', '60100 - Radio broadcasting', '70210 - Public relations and communications activities', '70229 - Management consultancy activities other than financial management']",54.972432,-1.592135
LESIMO LTD,12186710,NE1 8ST,"['58190 - Other publishing activities', '63990 - Other information service activities n.e.c.', '85590 - Other education n.e.c.']",54.976634,-1.60745
SLUGTOWN CIC,12206765,NE2 1XU,['90040 - Operation of arts facilities'],54.976998,-1.600666
GO KELTIE LTD,12271908,NE5 1NB,['90030 - Artistic creation'],55.00311,-1.695524
ORIGAMI AGENCY LTD.,12278671,NE1 2SW,"['59112 - Video production activities', '59120 - Motion picture, video and television programme post-production activities', '73110 - Advertising agencies', '74202 - Other specialist photography']",54.974639,-1.601207
SISTER SHACK CIC,12282082,NE15 6TT,"['70210 - Public relations and communications activities', '90020 - Support activities to performing arts', '90030 - Artistic creation']",54.976737,-1.686097
CRAIG ASTLEY PROJECTS LIMITED,12297106,NE15 7NL,['91012 - Archives activities'],54.979046,-1.671582
SUNSET STUDIOS LIMITED,12301884,NE3 3LS,['90040 - Operation of arts facilities'],55.010031,-1.622138
PROSVITALEO LTD,12336455,NE6 5LW,"['85520 - Cultural education', '85590 - Other education n.e.c.', '94120 - Activities of professional membership organizations']",54.988014,-1.575617
NORTHERN GOOSE LIMITED,12348763,NE1 8ST,"['59112 - Video production activities', '74209 - Photographic activities not elsewhere classified']",54.976634,-1.60745
TELEVISION OUTSIDE BROADCAST SOUND SERVICES LTD,12372414,NE3 4PH,['90030 - Artistic creation'],55.003531,-1.632939
WOODENBOX PUBLISHING LIMITED,12421087,NE15 7BB,['58110 - Book publishing'],54.977201,-1.680596
SOUNDTRACKS LTD,12421092,NE4 7YL,['90030 - Artistic creation'],54.961211,-1.644612
NORTH EAST SIKH SERVICE C.I.C.,12423676,NE6 3AB,"['85520 - Cultural education', '94910 - Activities of religious organizations']",54.975232,-1.552162
3SIXTY TOUR MANAGEMENT LTD,12459092,NE15 8DE,"['70229 - Management consultancy activities other than financial management', '90020 - Support activities to performing arts']",54.97697,-1.714235
ENCHANTED ISLES LIMITED,12479508,NE2 1JQ,"['59111 - Motion picture production activities', '59131 - Motion picture distribution activities']",54.988025,-1.603652
COASTAL DECORATIVE GLASS SUPPLIES LTD,12499997,NE3 3PF,['90030 - Artistic creation'],55.011201,-1.623642
EMBRA AGAIN PRODUCTIONS LTD,12511740,NE2 1DJ,['90030 - Artistic creation'],54.980341,-1.600665
LD TALENT LTD,12535775,NE3 1DL,['90020 - Support activities to performing arts'],55.008162,-1.622124
CREATIVE HERITAGE STUDIOS CIC,12603546,NE15 6TT,"['23410 - Manufacture of ceramic household and ornamental articles', '74100 - specialised design activities', '85520 - Cultural education']",54.976737,-1.686097
PING PONG TALES LIMITED,12606051,NE15 7AQ,['58190 - Other publishing activities'],54.981331,-1.683577
ROBIN REZA LTD,12645168,NE3 2XH,['90030 - Artistic creation'],55.02035,-1.66319
WRITE UP AND RISE LTD,12647780,NE3 5QU,"['85410 - Post-secondary non-tertiary education', '85520 - Cultural education']",55.027005,-1.616112
GEORDIE PANTO LTD,12657809,NE3 3PF,['90010 - Performing arts'],55.011201,-1.623642
ROWAN MEDIA GROUP LIMITED,12671789,NE1 3NG,"['58110 - Book publishing', '58142 - Publishing of  consumer and business journals and periodicals', '62011 - Ready-made interactive leisure and entertainment software development', '73110 - Advertising agencies']",54.968366,-1.612141
ARCUS IMMERSIVE LTD,12678769,NE2 1AN,"['58290 - Other software publishing', '59111 - Motion picture production activities', '62011 - Ready-made interactive leisure and entertainment software development', '62012 - Business and domestic software development']",54.976097,-1.597019
DCR MEDIA LTD,12698299,NE15 8RY,"['58190 - Other publishing activities', '63120 - Web portals']",54.977026,-1.711282
PALLADIO EDUCATION LTD,12707871,NE6 5LB,"['85520 - Cultural education', '85600 - Educational support services']",54.987598,-1.580123
GLASSWORKS PRODUCTION LTD,12735643,NE1 2NP,"['59200 - Sound recording and music publishing activities', '85520 - Cultural education']",54.974867,-1.594657
FULL FORGE LIMITED,12750122,NE1 5JE,"['59112 - Video production activities', '59120 - Motion picture, video and television programme post-production activities', '62011 - Ready-made interactive leisure and entertainment software development']",54.970856,-1.615895
STAGE2STAGE PRODUCTIONS LIMITED,12786235,NE5 3ER,['90010 - Performing arts'],54.996453,-1.662015
NORD FILMS LTD,12801904,NE6 5LR,['59112 - Video production activities'],54.986864,-1.578317
FEKA LIMITED,12823993,NE6 1XQ,['59112 - Video production activities'],54.978265,-1.581608
NRTHRN BABY RECORDS LTD,12847858,NE1 3AJ,"['59200 - Sound recording and music publishing activities', '90020 - Support activities to performing arts']",54.965713,-1.617943
BRASH THEATRE COMPANY LTD,12874160,NE6 5NN,['90010 - Performing arts'],54.979506,-1.584082
NEWCASTLE QURAN SCHOOL LIMITED,12889999,NE2 4AD,"['85520 - Cultural education', '85600 - Educational support services']",54.9829,-1.62158
VALPARAISO ARTS LTD,12924755,NE6 2HL,"['58110 - Book publishing', '58190 - Other publishing activities']",54.970149,-1.581302
CERINA DESIGN LTD,12960900,NE2 1PD,['90040 - Operation of arts facilities'],54.982699,-1.592877
STORYMADE LIMITED,13030318,NE15 8TL,"['59111 - Motion picture production activities', '59113 - Television programme production activities']",54.986978,-1.713273
LION AND LILAC,13115524,NE5 1AW,"['90010 - Performing arts', '90020 - Support activities to performing arts', '90030 - Artistic creation']",55.010761,-1.716465
TDOTD PRODUCTIONS LIMITED,13120183,NE2 3DH,['59111 - Motion picture production activities'],54.991936,-1.609179
TML VALEX LTD,13187790,NE2 1TJ,['90030 - Artistic creation'],54.984767,-1.603998
TRAINING VISION (TRAIVIS) LTD,13219370,NE1 1JF,"['85520 - Cultural education', '85590 - Other education n.e.c.', '85600 - Educational support services']",54.969968,-1.613654
MUSICAL BUDS CIC,13221035,NE3 5RG,['85520 - Cultural education'],55.027119,-1.638746
HOVERSQUAD LTD,13248422,NE6 5LR,['59112 - Video production activities'],54.986864,-1.578317
WILD INTRIGUE CIC,13256408,NE1 3NG,"['59112 - Video production activities', '74901 - Environmental consulting activities', '79120 - Tour operator activities']",54.968366,-1.612141
ROMA RIGHT PATH PROJECT CIC,13267342,NE4 7RW,['85520 - Cultural education'],54.965879,-1.636934
UNLOCK MUSIC CIC,13277858,NE3 3QH,['90030 - Artistic creation'],55.004558,-1.652144
PELICAN THEATRE LTD,13308820,NE1 4BR,"['90010 - Performing arts', '90030 - Artistic creation']",54.970186,-1.622246
ZONE 9 ENTERTAINMENT LTD,13312826,NE6 4YW,['90010 - Performing arts'],54.984672,-1.544179
THE LUBBER FIEND C.I.C.,13314395,NE1 3PZ,['90040 - Operation of arts facilities'],54.967727,-1.624078
456 LIVE LTD,13320647,NE6 1QU,['90020 - Support activities to performing arts'],54.972665,-1.584009
MOOD 2 LTD,13352051,NE5 2EU,"['58110 - Book publishing', '96090 - Other service activities n.e.c.']",54.983794,-1.672809
FAITHFUL PUBLICATIONS LTD,13368941,NE4 7YL,"['58130 - Publishing of newspapers', '58190 - Other publishing activities']",54.961211,-1.644612
OWEN HOPKINS LTD,13393894,NE6 5AJ,['58190 - Other publishing activities'],54.98137,-1.585094
URBAN MIND CIC,13399707,NE4 5LJ,"['86900 - Other human health activities', '90030 - Artistic creation']",54.978238,-1.637185
HIGH BRIDGE CIC,13420914,NE1 1EW,['90040 - Operation of arts facilities'],54.97181,-1.612827
NICE SWAN LTD,13438754,NE1 3NG,['90010 - Performing arts'],54.968366,-1.612141
DIALOGUE FOSTERS CIC,13453283,NE4 9AW,['85520 - Cultural education'],54.978499,-1.649541
CASSINI FILMS LTD,13454070,NE3 1AL,['59112 - Video production activities'],55.006197,-1.614653
KEMA KAY LIMITED,13497870,NE2 1AL,"['59113 - Television programme production activities', '85600 - Educational support services', '90010 - Performing arts']",54.978039,-1.599283
LISSOMS ERA LTD,13543497,NE2 2AZ,"['47630 - Retail sale of music and video recordings in specialised stores', '90030 - Artistic creation']",54.98556,-1.604912
MATTHEW LORENZO PRODUCTIONS LIMITED,13546039,NE4 7YA,"['59111 - Motion picture production activities', '59113 - Television programme production activities']",54.962685,-1.647801
