registered_name,company_number,postcode,sic_code,lat,long
SFN EVENTS LTD,13584268,NE2 1AN,['90020 - Support activities to performing arts'],54.976097,-1.597019
CADE MEDIA LIMITED,13609135,NE1 6UF,['59112 - Video production activities'],54.97297,-1.608298
BIGSWINGINGOVARIES LIMITED,13621430,NE2 1BD,['90030 - Artistic creation'],54.979831,-1.598404
A STONE'S THROW FESTIVAL LTD,13621909,NE1 5DW,['90010 - Performing arts'],54.969645,-1.618643
ANDY SMYTHE LTD,13625052,NE6 5LR,"['20411 - Manufacture of soap and detergents', '59113 - Television programme production activities', '90030 - Artistic creation']",54.986864,-1.578317
THE NEWCASTLE REVIEW LTD,13625482,NE5 1AW,"['85600 - Educational support services', '90010 - Performing arts', '90020 - Support activities to performing arts', '90030 - Artistic creation']",55.010761,-1.716465
IJESPORTS LIMITED,13636333,NE2 2JX,['58190 - Other publishing activities'],54.988295,-1.594696
EVENTFUL PRODUCTION SERVICES LTD,13679594,NE13 9FJ,"['74100 - specialised design activities', '82301 - Activities of exhibition and fair organisers', '82302 - Activities of conference organisers', '90020 - Support activities to performing arts']",55.035163,-1.65571
NEWCASTLE FILM STUDIO LTD,13684598,NE2 3DH,['59111 - Motion picture production activities'],54.991936,-1.609179
BOHO ARTS LIMITED,13709751,NE6 5SP,"['90010 - Performing arts', '90020 - Support activities to performing arts', '90040 - Operation of arts facilities']",54.989189,-1.572479
SHS EVENT CONSULTANCY LTD,13735341,NE2 1AN,['90020 - Support activities to performing arts'],54.976097,-1.597019
INCOMMON CIC,13762486,NE15 8DP,['90030 - Artistic creation'],54.977984,-1.71365
LONEGENIUS COMMUNITY INTEREST COMPANY,13766986,NE6 5DA,['90030 - Artistic creation'],54.985156,-1.575601
SHY BAIRNS COLLECTIVE LTD.,13779204,NE2 1AP,['90010 - Performing arts'],54.97651,-1.596189
OCTOBER ENDS LTD,13799585,NE6 5DR,['90010 - Performing arts'],54.986393,-1.571978
ACADEMY OF EXCELLENCE - INTERNATIONAL LTD,13802868,NE1 5JE,"['85520 - Cultural education', '85590 - Other education n.e.c.', '85600 - Educational support services']",54.970856,-1.615895
MUSECOLOGY LTD.,13806170,NE6 1LG,"['59200 - Sound recording and music publishing activities', '71112 - Urban planning and landscape architectural activities', '85520 - Cultural education', '90030 - Artistic creation']",54.972954,-1.589505
THANDEE-JAMES LTD,13814088,NE1 3NG,"['47910 - Retail sale via mail order houses or via Internet', '58110 - Book publishing', '70229 - Management consultancy activities other than financial management', '73110 - Advertising agencies']",54.968366,-1.612141
TINY DRAGON PRODUCTIONS,13816200,NE1 1LE,"['90010 - Performing arts', '90030 - Artistic creation']",54.969789,-1.610315
STRANGE QUARK LTD,13826379,NE3 1EH,"['62090 - Other information technology service activities', '74100 - specialised design activities', '90030 - Artistic creation']",55.009605,-1.624096
INNIT STUDIOS LTD,13826697,NE4 5LQ,['58190 - Other publishing activities'],54.978414,-1.638855
CAVIAR STUDIOS LTD,13835848,NE1 3PA,"['59112 - Video production activities', '59132 - Video distribution activities']",54.965466,-1.616477
PORTFOLIO NORTH (NEWCASTLE) LIMITED,13837749,NE1 6JQ,['58190 - Other publishing activities'],54.97335,-1.611825
ANNA ROBINSON LTD,13840816,NE3 4DE,['90020 - Support activities to performing arts'],55.003298,-1.621466
LILI FILM (2022) LIMITED,13856647,NE4 7YD,['59111 - Motion picture production activities'],54.960913,-1.640882
FUNK NIGHTS LTD,13893231,NE6 5NS,['90010 - Performing arts'],54.980002,-1.58453
SISTER SOUNDS LTD,13951415,NE15 6TT,"['59200 - Sound recording and music publishing activities', '60100 - Radio broadcasting', '90030 - Artistic creation']",54.976737,-1.686097
BUTTERY TOAST LTD,13979127,NE6 5RD,['90010 - Performing arts'],54.990946,-1.581572
HOWARD LEE LIMITED,13983990,NE4 7YL,['90030 - Artistic creation'],54.961211,-1.644612
THE BUBBLE WHISPERER LTD,14006502,NE6 5YB,['90010 - Performing arts'],54.983753,-1.577662
AAC ENTERPRISE LTD,14007221,NE2 2AW,"['59200 - Sound recording and music publishing activities', '86220 - Specialists medical practice activities', '90010 - Performing arts', '96090 - Other service activities n.e.c.']",54.989216,-1.596826
STUPOR FILMS LTD,14035720,NE6 5HX,['59111 - Motion picture production activities'],54.983016,-1.580248
INCLUSION HAIR NETWORK CIC,14064796,NE1 2PL,"['85520 - Cultural education', '96020 - Hairdressing and other beauty treatment']",54.974474,-1.592054
AUGMENTED READING TECHNOLOGIES (ART) LTD,14073115,NE1 1LF,"['58190 - Other publishing activities', '62012 - Business and domestic software development']",54.969796,-1.610328
ECOFLIX MEDIA LIMITED,14085892,NE5 1NB,['59111 - Motion picture production activities'],55.00311,-1.695524
LIL BILL LTD,14130417,NE3 2HR,['90010 - Performing arts'],55.015085,-1.626422
MATTHEW LORENZO PRODUCTIONS (HURST) LTD,14150451,NE4 7YA,['59111 - Motion picture production activities'],54.962685,-1.647801
THE GREAT ARTCO LTD,14157790,NE15 7SF,"['47781 - Retail sale in commercial art galleries', '74990 - Non-trading company', '90030 - Artistic creation', '94990 - Activities of other membership organizations n.e.c.']",54.985702,-1.701969
MALTINGS PICTURES LTD,14216110,NE1 4ST,['59111 - Motion picture production activities'],54.975219,-1.622324
WAZOBIA AFRICA LTD,14303536,NE6 1DN,"['56101 - Licensed restaurants', '56290 - Other food services', '68100 - Buying and selling of own real estate', '90020 - Support activities to performing arts']",54.977214,-1.581199
L&A ELEMENTS LIMITED,14304442,NE1 8JW,['90010 - Performing arts'],54.977053,-1.612087
SUDANESE YOUTH LTD,14307137,NE4 6UL,"['85520 - Cultural education', '85600 - Educational support services', '94910 - Activities of religious organizations', '96090 - Other service activities n.e.c.']",54.972661,-1.642028
STEVEN DUNN 44 LTD,14319784,NE3 1NR,['90030 - Artistic creation'],55.001111,-1.617672
TEXTEUR ART LTD,14342128,NE3 3UB,['90030 - Artistic creation'],55.006288,-1.629412
DANCE EVENTS (WE) LTD,14364046,NE2 1AN,['90020 - Support activities to performing arts'],54.976097,-1.597019
TALES IN SOMBRE TONES CIC,14404257,NE6 2RR,['90030 - Artistic creation'],54.976597,-1.569379
CULTURED. NORTH EAST LIMITED,14404980,NE6 5AE,['58190 - Other publishing activities'],54.981547,-1.584233
MERYEM CARSON LTD,14405351,NE13 9BD,['90010 - Performing arts'],55.029521,-1.646466
EMERALD GALLERY LTD,14435790,NE1 4BP,['91020 - Museums activities'],54.970041,-1.621685
DURHAM MUSLIMS COMMUNITY LTD,14486676,NE4 6UL,"['85520 - Cultural education', '85600 - Educational support services']",54.972661,-1.642028
HEBEI INTERNATIONAL SCHOOL PARTNERSHIP LIMITED,14497419,NE3 3PF,"['85520 - Cultural education', '85590 - Other education n.e.c.', '85600 - Educational support services']",55.011201,-1.623642
NEWCASTLE DRUM TUITION LTD,14506807,NE7 7GP,"['85520 - Cultural education', '90010 - Performing arts']",55.000841,-1.561413
ART PSYCHE LTD,14509158,NE15 6TT,"['20420 - Manufacture of perfumes and toilet preparations', '47890 - Retail sale via stalls and markets of other goods', '47990 - Other retail sale not in stores, stalls or markets', '90030 - Artistic creation']",54.976737,-1.686097
NORTH STAR CO-DESIGN CIC,14519925,NE2 4LR,"['85520 - Cultural education', '90030 - Artistic creation']",54.982994,-1.631907
BEAM STORY LAB CIC,14522541,NE3 5DS,"['59112 - Video production activities', '90030 - Artistic creation']",55.012073,-1.608749
NADANTA LIVE LTD,14527501,NE6 1LH,"['58290 - Other software publishing', '59112 - Video production activities']",54.974253,-1.591008
SOLIDARITY FARM CIC,14547069,NE7 7PR,"['85520 - Cultural education', '85590 - Other education n.e.c.', '96040 - Physical well-being activities']",55.000072,-1.57771
CHARM QUARK LTD,14562675,NE3 1EH,"['46180 - Agents specialized in the sale of other particular products', '47781 - Retail sale in commercial art galleries', '70229 - Management consultancy activities other than financial management', '90030 - Artistic creation']",55.009605,-1.624096
CÃ˜H VISUALS LIMITED,14570087,NE4 9TS,['59112 - Video production activities'],54.98596,-1.656508
HONEYBIRD STUDIOS LIMITED,14621835,NE1 3NG,"['59111 - Motion picture production activities', '59112 - Video production activities', '59113 - Television programme production activities']",54.968366,-1.612141
BRAVA ENTERTAINMENT COMPANY LTD,14631099,NE1 5JE,"['90010 - Performing arts', '90020 - Support activities to performing arts', '90040 - Operation of arts facilities']",54.970856,-1.615895
NEWCASTLE FRINGE FESTIVAL LTD,14653142,NE4 9NU,"['90010 - Performing arts', '90020 - Support activities to performing arts']",54.979461,-1.649798
NEWCASTLE MEAD LTD,14657323,NE7 7JD,"['47910 - Retail sale via mail order houses or via Internet', '58110 - Book publishing', '82990 - Other business support service activities n.e.c.', '85590 - Other education n.e.c.']",54.996534,-1.58625
FLAT M FILMS LTD,14675187,NE4 7DX,['59111 - Motion picture production activities'],54.963851,-1.634035
JUMPKAT LTD,14682141,NE6 5XR,"['58210 - Publishing of computer games', '59112 - Video production activities']",54.98449,-1.580421
QUINN MASSEY PRODUCTIONS LIMITED,14687118,NE3 1AR,['59111 - Motion picture production activities'],55.006962,-1.612066
TAPYARD STUDIOS LIMITED,14697969,NE6 2HL,"['56302 - Public houses and bars', '90020 - Support activities to performing arts']",54.970149,-1.581302
HOMEPORTFOLIO HQ LIMITED,14708415,NE15 9FW,['58190 - Other publishing activities'],54.998722,-1.764194
YE UNION LTD,14717229,NE13 9DS,"['46900 - Non-specialised wholesale trade', '79901 - Activities of tourist guides', '85520 - Cultural education', '85600 - Educational support services']",55.027729,-1.657933
CODENAME FILMS LTD,14717928,NE1 3DY,['59111 - Motion picture production activities'],54.97132,-1.597491
THRIVE DRIVE INITIATIVE CIC,14740902,NE4 8XS,"['85520 - Cultural education', '85590 - Other education n.e.c.', '86900 - Other human health activities']",54.969932,-1.661175
DIFFRACTIVE STUDIO LTD,14748076,NE2 1AN,"['20420 - Manufacture of perfumes and toilet preparations', '46190 - Agents involved in the sale of a variety of goods', '46450 - Wholesale of perfume and cosmetics', '90030 - Artistic creation']",54.976097,-1.597019
MCLEVIT PRODUCTION LIMITED,14750700,NE3 2XA,"['59112 - Video production activities', '59200 - Sound recording and music publishing activities']",55.015916,-1.671375
MARISAM EVENTS LTD,14770287,NE1 5DW,['90010 - Performing arts'],54.969645,-1.618643
MOVE EASY NORTH EAST CIC,14774808,NE6 5NS,"['90010 - Performing arts', '90030 - Artistic creation', '96040 - Physical well-being activities']",54.980002,-1.58453
HOLY TRINITY ROMANIAN CHURCH NEWCASTLE C.I.C.,14826191,NE15 6UN,"['85510 - Sports and recreation education', '85520 - Cultural education', '94910 - Activities of religious organizations', '96040 - Physical well-being activities']",54.974191,-1.677636
GEMS NURSERY LTD,14827210,NE15 6NJ,"['58110 - Book publishing', '85520 - Cultural education', '85590 - Other education n.e.c.', '85600 - Educational support services']",54.970659,-1.671585
AFRONORTHEAST LIMITED,14853799,NE2 4LS,['90020 - Support activities to performing arts'],54.983553,-1.63026
COHERENT 360 LTD,14855495,NE4 8SA,"['59111 - Motion picture production activities', '59112 - Video production activities', '62020 - Information technology consultancy activities']",54.970721,-1.647828
NEWCASTLE CIRCUS ARTS CIC,14867617,NE4 9UA,"['86900 - Other human health activities', '90020 - Support activities to performing arts', '93130 - Fitness facilities']",54.984985,-1.651797
LAZY LORIS FLOWERS LTD,14876246,NE3 2AX,"['47760 - Retail sale of flowers, plants, seeds, fertilizers, pet animals and pet food in specialised stores', '47890 - Retail sale via stalls and markets of other goods', '62090 - Other information technology service activities', '90030 - Artistic creation']",55.020935,-1.644307
MOVERE OPUS PICTURES LIMITED,14900021,NE2 1TJ,['59111 - Motion picture production activities'],54.984767,-1.603998
INDIGO PUZZLES LIMITED,14904645,NE3 1SQ,"['47650 - Retail sale of games and toys in specialised stores', '47990 - Other retail sale not in stores, stalls or markets', '90030 - Artistic creation']",55.008932,-1.601712
LITTLE BUILDINGS BOOKINGS LTD,14913876,NE1 2PW,"['56302 - Public houses and bars', '90010 - Performing arts', '90020 - Support activities to performing arts', '90040 - Operation of arts facilities']",54.974942,-1.595096
BENIDORM AND BEYOND LTD,14920841,NE1 2DF,['58190 - Other publishing activities'],54.971956,-1.589578
AFROSPHERE FILMS LTD,14929761,NE5 4BW,"['59112 - Video production activities', '73120 - Media representation services', '74100 - specialised design activities', '74202 - Other specialist photography']",55.008973,-1.682752
BYKER GRAVE LTD,14960889,NE6 5DD,['90020 - Support activities to performing arts'],54.985791,-1.572031
FOREVER A FAIRYTALE PARTY PRODUCTIONS LTD,14992287,NE5 2PB,['90010 - Performing arts'],54.99385,-1.708473
WB1 FILMS LTD,15006809,NE7 7LX,['59111 - Motion picture production activities'],55.007932,-1.595405
AMELIA BEDELIA LTD,15024883,NE2 2AA,"['90010 - Performing arts', '90030 - Artistic creation', '91011 - Library activities', '91020 - Museums activities']",54.983426,-1.604275
ALL WAYS GOOD COMPANY LTD,15063180,NE6 5BA,"['90010 - Performing arts', '90030 - Artistic creation', '93120 - Activities of sport clubs']",54.98063,-1.592226
VODLOZA KONCEPT LTD,15085755,NE3 3AG,"['59111 - Motion picture production activities', '59112 - Video production activities', '74201 - Portrait photographic activities', '74202 - Other specialist photography']",55.009911,-1.648876
URBAN PARK MARKET LTD,15088244,NE3 1NR,['90030 - Artistic creation'],55.001111,-1.617672
MR7TRADE LTD,15094879,NE4 8HE,['59112 - Video production activities'],54.96677,-1.65511
ACADEMY OF EXCELLENCE INNOVATION LTD,15107613,NE1 5JE,"['85520 - Cultural education', '85590 - Other education n.e.c.', '85600 - Educational support services']",54.970856,-1.615895
CHOKEPOINT CREATIVE LTD,15143916,NE15 6PR,"['62011 - Ready-made interactive leisure and entertainment software development', '90030 - Artistic creation']",54.976343,-1.659215
SPACE OUSEBURN LTD,15161146,NE6 1LH,['90030 - Artistic creation'],54.974253,-1.591008
SO-CINEMATIC LTD,15161960,NE3 4LD,"['59111 - Motion picture production activities', '59112 - Video production activities', '59113 - Television programme production activities', '59120 - Motion picture, video and television programme post-production activities']",55.003845,-1.648038
QBICART LTD,15208776,NE6 5NQ,['90030 - Artistic creation'],54.980275,-1.58298
SOME GIRLS COMPANY LTD,15215592,NE4 5EU,"['90020 - Support activities to performing arts', '90030 - Artistic creation']",54.976312,-1.633046
TURTLÃ‰AR LTD,15220069,NE3 3SE,"['78101 - Motion picture, television and other theatrical casting activities']",55.008736,-1.659159
EDO CULTURAL VALUE AND HERITAGE ACADEMY LTD,15229596,NE5 2YP,['85520 - Cultural education'],54.992954,-1.694725
STARLIGHT PRINT LTD,15250108,NE6 2HL,"['18129 - Printing n.e.c.', '58190 - Other publishing activities']",54.970149,-1.581302
CANTABILE TOUCH LTD,15274939,NE1 4XE,['90010 - Performing arts'],54.970661,-1.619521
THE AI EFFECT LTD,15278376,NE4 7YA,['59112 - Video production activities'],54.962685,-1.647801
IHDY LIMITED,15279690,NE4 5PE,"['59200 - Sound recording and music publishing activities', '90010 - Performing arts']",54.978756,-1.641977
VOLT ART LIMITED,15282499,NE2 3DN,"['47781 - Retail sale in commercial art galleries', '58290 - Other software publishing', '62012 - Business and domestic software development', '90030 - Artistic creation']",54.99338,-1.611087
TOMI GROUP ENTERTAINMENT LTD,15286621,NE6 2QX,['90010 - Performing arts'],54.974168,-1.561016
KOSHYK CIC,15296769,NE4 7RW,['85520 - Cultural education'],54.965879,-1.636934
DEEP SPACE MEDIA LIMITED,15301654,NE4 7YA,"['59112 - Video production activities', '73120 - Media representation services']",54.962685,-1.647801
HOUSE54 STUDIOS LTD,15324177,NE3 1DX,['59111 - Motion picture production activities'],55.006597,-1.624828
THE PROHIBITION ACT SOCIETY COMMUNITY INTEREST COMPANY,15339632,NE1 5DW,['90020 - Support activities to performing arts'],54.969645,-1.618643
DARUL HIKMAH ACADEMY LTD,15347013,NE4 6PA,"['85510 - Sports and recreation education', '85520 - Cultural education', '85590 - Other education n.e.c.', '85600 - Educational support services']",54.973156,-1.638418
ROMA/GYPSY HOLOCAUST MEMORIAL CENTRE - NEWCASTLE UPON TYNE C.I.C.,15348328,NE5 2UU,"['85510 - Sports and recreation education', '85520 - Cultural education', '88990 - Other social work activities without accommodation n.e.c.', '93290 - Other amusement and recreation activities n.e.c.']",54.987495,-1.686047
NB MEDIA SERVICES LIMITED,15350435,NE15 8AE,"['59112 - Video production activities', '60200 - Television programming and broadcasting activities']",54.979114,-1.708845
BRIGGS STAR COMMUNICATIONS LTD,15375208,NE15 8AE,"['59112 - Video production activities', '61300 - Satellite telecommunications activities', '62090 - Other information technology service activities']",54.979114,-1.708845
AIW LIMITED,15386510,NE2 2JH,"['58190 - Other publishing activities', '63120 - Web portals']",54.988305,-1.597806
OJEMBA ENTERTAINMENT LIMITED,15438365,NE1 3NG,"['90020 - Support activities to performing arts', '93290 - Other amusement and recreation activities n.e.c.']",54.968366,-1.612141
CHR EVENTS LTD,15443090,NE3 2FD,['90010 - Performing arts'],55.010151,-1.677379
PSSCARNATION LTD,15460899,NE6 5XJ,"['90010 - Performing arts', '90020 - Support activities to performing arts']",54.985612,-1.578032
NE1 MEDIA LTD,15486807,NE2 4PB,['58190 - Other publishing activities'],54.984283,-1.630785
MOTOWORLD ONLINE LIMITED,15508868,NE3 3BD,['58190 - Other publishing activities'],55.007225,-1.645273
PREMIUM EDUCATIONAL CONSULTING LTD,15515738,NE15 8BB,"['58110 - Book publishing', '74300 - Translation and interpretation activities', '74909 - Other professional, scientific and technical activities n.e.c.', '85600 - Educational support services']",54.981406,-1.716704
APODINI CREATIONS LIMITED,15543832,NE15 8HF,['90030 - Artistic creation'],54.983913,-1.736672
ORBITAL FX LTD,15558624,NE1 2DF,"['59111 - Motion picture production activities', '71121 - Engineering design activities for industrial process and production', '74100 - specialised design activities']",54.971956,-1.589578
GEORDIE GRIPS LIMITED,15568696,NE6 5AQ,['59111 - Motion picture production activities'],54.980593,-1.589352
THE PHANTOM VAULT LTD,15569582,NE15 7HB,"['46431 - Wholesale of audio tapes, records, CDs and video tapes and the equipment on which these are played', '47630 - Retail sale of music and video recordings in specialised stores', '59112 - Video production activities', '59200 - Sound recording and music publishing activities']",54.977386,-1.693234
AG MUSIC LTD,15587826,NE7 7YA,['90010 - Performing arts'],54.996422,-1.590581
CAVIAR PRODUCTIONS LTD,15593210,NE1 3PA,['59112 - Video production activities'],54.965466,-1.616477
MEMORIES TO MASTERPIECE LTD,15633662,NE1 3RF,['90030 - Artistic creation'],54.967671,-1.611054
MEGAS UNION GLOBAL LTD,15640597,NE13 9EJ,"['58110 - Book publishing', '59112 - Video production activities', '59200 - Sound recording and music publishing activities']",55.029574,-1.662094
THE ISLAMIC CENTRE LTD,15652088,NE1 5JE,"['85520 - Cultural education', '94910 - Activities of religious organizations', '96090 - Other service activities n.e.c.']",54.970856,-1.615895
LDPC LTD,15668576,NE1 1UN,['90010 - Performing arts'],54.971132,-1.614505
YEEHAW LTD,15674846,NE1 1RN,['90010 - Performing arts'],54.968147,-1.611144
FINE ART AND CRAFTS LIMITED,15676716,NE4 9QD,['90030 - Artistic creation'],54.977999,-1.657092
NIGERIAN ASSOCIATION TYNE AND WEAR CIC,15686199,NE5 4EL,['85520 - Cultural education'],55.005715,-1.685404
PENNELL-TUTILL PERFORMING ARTS LTD,15695459,NE3 1HN,['90010 - Performing arts'],55.008496,-1.620588
TLNC LTD,15708018,NE1 1UN,['90010 - Performing arts'],54.971132,-1.614505
TLLV LTD,15715183,NE1 1UN,['90010 - Performing arts'],54.971132,-1.614505
LITTLEJEM WORKSHOP LTD,15715190,NE7 7LX,['90030 - Artistic creation'],55.007932,-1.595405
KCLE LTD,15715236,NE1 1UN,['90010 - Performing arts'],54.971132,-1.614505
MATT PAGAN PRODUCTIONS LTD,15722937,NE15 7DL,['90010 - Performing arts'],54.978659,-1.681631
DIY CEILIDH LTD,15728501,NE6 5XJ,['90010 - Performing arts'],54.985612,-1.578032
PIGMENT PRESS LTD,15730611,NE6 2HL,['90040 - Operation of arts facilities'],54.970149,-1.581302
ARBF LIMITED,15734119,NE13 9GB,['90010 - Performing arts'],55.031585,-1.654053
FULLY LOADED PICTURES LIMITED,15754560,NE4 6UL,['59111 - Motion picture production activities'],54.972661,-1.642028
LJ DANCE & PERFORMING ARTS ACADEMY LTD,15796232,NE6 2HL,['90010 - Performing arts'],54.970149,-1.581302
MORDEN TOWER BOOK ROOM LTD,15850892,NE3 4AN,['58110 - Book publishing'],54.999216,-1.62066
DANCE ARTISTS NORTH EAST CIC,15852918,NE6 5BT,"['78200 - Temporary employment agency activities', '90010 - Performing arts', '90020 - Support activities to performing arts']",54.984078,-1.575753
OSIRIS PRESS LIMITED,15865633,NE15 9EN,['58110 - Book publishing'],54.996259,-1.75355
GLITCH BOOKS LIMITED,15867294,NE15 9EN,['58110 - Book publishing'],54.996259,-1.75355
SJJG LTD,15874953,NE3 3PF,"['58110 - Book publishing', '90010 - Performing arts']",55.011201,-1.623642
HARVEY DUCKMAN LTD,15879932,NE1 1JF,['90030 - Artistic creation'],54.969968,-1.613654
BUNNY RWLK LTD,15881018,NE1 5UD,"['90010 - Performing arts', '90030 - Artistic creation', '98100 - Undifferentiated goods-producing activities of private households for own use', '98200 - Undifferentiated service-producing activities of private households for own use']",54.971137,-1.618832
AVERIA AGENCY UK LTD,15888622,NE3 1YQ,"['63120 - Web portals', '90030 - Artistic creation']",55.002906,-1.608369
GEORDIE VISION LTD,15906324,NE6 2HL,['59112 - Video production activities'],54.970149,-1.581302
PROG ON THE TYNE LIMITED,15918124,NE2 2PQ,['90020 - Support activities to performing arts'],54.990131,-1.601023
