Activity,Organisation,Activity category,Audience
Film Screening,Seven Stories,Performance,General admission
Performance,NEM,Performance,General admission
Adult Event - Planetarium,Centre for Life,Exhibition,Adults
Adult Event - Speakeasy,Centre for Life,Event,Adults
Formal Learning,NEM,Exhibition,Children
Storytime,Seven Stories,Event,Children
Formal Learning,NEM,School Engagement,Schools
Informal Learning,NEM,School Engagement,Schools
Learning & Community - School Workshops (TBC),Seven Stories,School Engagement,Schools
Santa Experience,Centre for Life,Other,Children
Afternoon Tea,Seven Stories,Event,Children
Santa Experience,Centre for Life,Event,Children
Schools - Outreach,Centre for Life,Outreach,Children
Home Educator Day,Centre for Life,School Engagement,Children
Storytime,Seven Stories,Other,Children
Learning & Community,Seven Stories,Community Engagement,"Children,Communities / Disadvantaged communities"
Community programmes,NEM,Community Engagement,Communities / Disadvantaged communities
Ice Rink,Centre for Life,Workshop,General admission
Workshop/ Event,Seven Stories,"Event,Workshop",General admission
Schools - KS4 and Post 16 Workshop,Centre for Life,Workshop,"Schools / Key Stage 4,Schools / Post-16"
Schools - Science Centre Only (KS1 - KS3),Centre for Life,Other,Schools / Key Stage 1 - 3
Schools - Science Centre and Workshop (KS1 - KS3),Centre for Life,"Other,Workshop",Schools / Key Stage 1 - 3
Schools - Workshop Only (KS1 - KS3),Centre for Life,Workshop,Schools / Key Stage 1 - 3